make,model,part,total_paid
ALFA ROMEO,GIULIETTA,Air Con (Various Faults),2121.59
ALFA ROMEO,GIULIETTA,Heating System,1584.00
ALFA ROMEO,GIULIETTA,Engine Oil Pump,1013.80
ALFA ROMEO,MITO,Engine (Various Faults),880.79
ALFA ROMEO,MITO,Electrical,841.41
ALFA ROMEO,GIULIETTA,Turbocharger,775.97
ALFA ROMEO,MITO,Clutch (Various Faults),769.48
ALFA ROMEO,159,Gearbox (Various Faults),731.99
ALFA ROMEO,GIULIETTA,Abs (Various Faults),720.24
ALFA ROMEO,MITO,Starter Motor,712.14
ALFA ROMEO,GT,Engine (Various Faults),700.00
ALFA ROMEO,MITO,Wiper Motor,692.50
ALFA ROMEO,MITO,Ecu (Other),637.27
ALFA ROMEO,MITO,Steering Column,628.66
ALFA ROMEO,4C SPIDER,Suspension (Various Faults),626.00
ALFA ROMEO,147,Gearbox (Various Faults),609.52
ALFA ROMEO,GT,Spring (Suspension),565.72
ALFA ROMEO,GIULIETTA,Air Con (Various Faults),560.06
ALFA ROMEO,GIULIETTA,Electrical,538.45
ALFA ROMEO,159,Drive Shaft,508.98
ALFA ROMEO,159,Air Con (Various Faults),500.00
ALFA ROMEO,147,Clutch (Various Faults),488.42
ALFA ROMEO,GIULIETTA,E.G.R Valve,459.90
ALFA ROMEO,MITO,Steering Rack,455.42
ALFA ROMEO,MITO,Suspension (Various Faults),430.75
ALFA ROMEO,MITO,Oil Leaks,386.83
ALFA ROMEO,GIULIETTA,E.G.R Valve,378.00
ALFA ROMEO,159,Air Con (Various Faults),335.89
ALFA ROMEO,MITO,Spring (Suspension),315.16
ALFA ROMEO,MITO,Radiator,309.30
ALFA ROMEO,GIULIETTA,Electrical,306.98
ALFA ROMEO,159,Alternator,280.49
ALFA ROMEO,GIULIETTA,Gearbox (Various Faults),273.13
ALFA ROMEO,MITO,Water Pump,270.62
ALFA ROMEO,SPIDER,Steering Pipe,252.68
ALFA ROMEO,MITO,Window Motor,252.34
ALFA ROMEO,159,Engine (Various Faults),250.00
ALFA ROMEO,GIULIETTA,Clutch (Various Faults),250.00
ALFA ROMEO,BRERA,Steering Pipe,245.83
ALFA ROMEO,GIULIETTA,Seat Belt,245.74
ALFA ROMEO,GIULIETTA,Brakes Discs,225.53
ALFA ROMEO,GIULIETTA,E.G.R Valve,213.10
ALFA ROMEO,GIULIETTA,Radiator,211.93
ALFA ROMEO,159,Spring (Suspension),208.00
ALFA ROMEO,GIULIETTA,Heating System,200.91
ALFA ROMEO,GIULIETTA,Electrical ,194.39
ALFA ROMEO,MITO,Shock Absorber,193.63
ALFA ROMEO,GIULIETTA,Radiator,186.36
ALFA ROMEO,GIULIETTA,Thermostat,181.81
ALFA ROMEO,MITO,Alternator,181.37
ALFA ROMEO,159,Air Flow Meter,179.25
ALFA ROMEO,GIULIETTA,Wiper Motor,177.60
ALFA ROMEO,MITO,Thermostat Housing,176.64
ALFA ROMEO,MITO,Starter Motor,169.50
ALFA ROMEO,147,Electrical ,166.66
ALFA ROMEO,MITO,Ecu (Other),164.80
ALFA ROMEO,MITO,,151.24
ALFA ROMEO,MITO,Suspension (Various Faults),150.92
ALFA ROMEO,GIULIETTA,E.G.R Cooler,150.00
ALFA ROMEO,MITO,Starter Motor,143.54
ALFA ROMEO,MITO,Wheel Bearing,140.00
ALFA ROMEO,MITO,Alternator,125.74
ALFA ROMEO,MITO,Starter Motor,108.42
ALFA ROMEO,MITO,Suspension (Various Faults),103.68
ALFA ROMEO,GIULIETTA,Ignition Coil,102.49
ALFA ROMEO,MITO,Wheel Bearing,89.59
ALFA ROMEO,159,Turbocharger,84.00
ALFA ROMEO,GIULIETTA,Engine (Various Faults),84.00
ALFA ROMEO,GIULIETTA,Suspension (Various Faults),81.07
ALFA ROMEO,MITO,Electrical ,61.25
ALFA ROMEO,MITO,Ignition Coil,32.20
