make,model,part,total_paid
AUDI,A1,Engine (Various Faults),8994.65
AUDI,RS4,Differential,8814.17
AUDI,A7,Engine (Various Faults),8806.32
AUDI,RS5,Differential,8731.45
AUDI,Q7,Oil Leaks,8638.55
AUDI,TT QUATTRO,Engine (Various Faults),8513.45
AUDI,A4,Gearbox (Various Faults),8507.76
AUDI,A4,Gearbox (Various Faults),8450.69
AUDI,ALLROAD,Gearbox (Various Faults),8357.23
AUDI,A3,Engine (Various Faults),8276.68
AUDI,Q7,Fuel Injectors,5745.08
AUDI,A7,Gearbox (Various Faults),5700.00
AUDI,A4,Gearbox (Various Faults),5000.00
AUDI,A1,Engine (Various Faults),5000.00
AUDI,A1,Engine (Various Faults),5000.00
AUDI,RS4,Differential,4983.83
AUDI,ALLROAD,Gearbox (Various Faults),4539.88
AUDI,RS6,Gearbox (Various Faults),4284.00
AUDI,Q7,Oil Leaks,4039.77
AUDI,R8,Gearbox (Various Faults),3844.83
AUDI,A7,Electrical ,3524.60
AUDI,A7,Ecu (Other),3180.00
AUDI,RS5,Gearbox (Various Faults),3129.88
AUDI,S3,Engine (Various Faults),3084.00
AUDI,A6,Gearbox (Various Faults),2754.00
AUDI,A3,Mechatronic Unit,2720.40
AUDI,R8,Suspension (Various Faults),2544.00
AUDI,A7,Steering Rack,2469.85
AUDI,A5 QUATTRO,Gearbox (Various Faults),2445.08
AUDI,A5 QUATTRO,Gearbox (Various Faults),2304.52
AUDI,Q3,Turbocharger,2231.36
AUDI,A3,Fuel System,2190.95
AUDI,RS5,Gearbox (Various Faults),2151.56
AUDI,QUATTRO,Flywheel,2151.24
AUDI,A5,,2075.70
AUDI,Q5,Steering Rack,2026.78
AUDI,A5,Steering Rack,1955.00
AUDI,Q7,Oil Leaks,1858.31
AUDI,A3,Gearbox (Various Faults),1820.76
AUDI,A5,Ecu Engine,1602.49
AUDI,A7,Differential,1598.23
AUDI,A5,Gearbox (Various Faults),1566.25
AUDI,ALLROAD,Amplifier,1565.34
AUDI,RS3,Catalyst (Exhaust),1557.44
AUDI,A3,Cylinder Head Gasket,1534.62
AUDI,Q7,Electrical ,1531.91
AUDI,A5 QUATTRO,Electrical,1520.02
AUDI,A6,Gearbox (Various Faults),1500.00
AUDI,Q5,Flywheel ,1473.05
AUDI,A3,Engine (Various Faults),1464.00
AUDI,Q7,Electrical ,1455.00
AUDI,A3,Thermostat,1316.11
