make,model,part,total_paid
BMW,5 SERIES,Engine (Various Faults),8934.26
BMW,5 SERIES,Gearbox (Various Faults),8930.94
BMW,X5,Gearbox (Various Faults),8917.48
BMW,1 SERIES,Engine (Various Faults),8903.94
BMW,X6,Engine (Various Faults),8868.88
BMW,3 SERIES,Engine (Various Faults),8824.12
BMW,5 SERIES,Engine (Various Faults),8560.92
BMW,1 SERIES,Engine (Various Faults),8527.96
BMW,3 SERIES,Engine (Various Faults),8522.20
BMW,3 SERIES,Engine (Various Faults),8459.08
BMW,X1 4X4,Engine (Various Faults),5084.00
BMW,3 SERIES,Fuel Injectors,5084.00
BMW,I3,Engine (Various Faults),5083.99
BMW,6 SERIES,Engine (Various Faults),4828.64
BMW,7 SERIES,Suspension (Various Faults),4781.14
BMW,X3,Engine (Various Faults),4678.52
BMW,3 SERIES,Gearbox (Various Faults),3788.46
BMW,7 SERIES,Suspension (Various Faults),3685.25
BMW,X5,Gearbox (Various Faults),3518.06
BMW,X1,Gearbox (Various Faults),3392.30
BMW,3 SERIES,Gearbox (Various Faults),3378.00
BMW,X5,Transfer Box,3191.37
BMW,3 SERIES,,3133.76
BMW,1 SERIES,Engine (Various Faults),3084.00
BMW,M4,Steering Rack,2859.48
BMW,1 SERIES,Brakes (Various Faults),2835.55
BMW,X5,Differential,2773.81
BMW,5 SERIES,Abs Accumulator,2648.40
BMW,1 SERIES,Abs (Various Faults),2511.42
BMW,4 SERIES,Steering Rack,2485.18
BMW,5 SERIES,Engine (Various Faults),2361.60
BMW,X5,Brakes (Various Faults),2251.82
BMW,3 SERIES,Charging Unit (Ev),2167.37
BMW,3 SERIES,Gearbox (Various Faults),2084.00
BMW,1 SERIES,Engine Oil Pump,2084.00
BMW,1 SERIES,Engine (Various Faults),2074.32
BMW,3 SERIES,CHARGING UNIT (EV),2017.51
BMW,3 SERIES,Multimedia,2000.00
BMW,X5,Turbocharger,1891.60
BMW,5 SERIES,Flywheel,1863.49
BMW,I3,Water Pump,1858.34
BMW,M4,Fuel System,1848.71
BMW,5 SERIES,Fuel System,1820.00
BMW,1 SERIES,Camshaft Sensor,1727.75
BMW,M4,,1726.92
BMW,M5,Ecu Engine,1726.25
BMW,5 SERIES,Differential,1723.68
BMW,1 SERIES,Engine (Various Faults),1710.30
BMW,X5,Gearbox (Various Faults),1709.70
BMW,3 SERIES,Ecu Engine,1684.42
BMW,1 SERIES,Ecu Engine,1652.16
BMW,1 SERIES,Engine (Various Faults),1639.20
BMW,5 SERIES,Gearbox (Various Faults),1632.50
BMW,X3,Multimedia,1601.82
BMW,5 SERIES,Engine (Various Faults),1584.00
BMW,1 SERIES,Alternator,1519.38
BMW,5 SERIES,Suspension (Various Faults),1514.11
BMW,3 SERIES,Vanos Unit,1496.77
BMW,3 SERIES,Catalyst (Exhaust),1484.00
BMW,3 SERIES,Electrical ,1466.00
BMW,1 SERIES,Cylinder Head Gasket,1452.00
BMW,1 SERIES,Ecu Engine,1447.74
BMW,Z4M,Steering Rack,1447.39
BMW,3 SERIES,Timing Chain,1446.89
BMW,4 SERIES,Amplifier,1441.14
BMW,4 SERIES,Multimedia/ Sat,1438.46
BMW,X5,Nox Sensor(Nitrogen Oxide),1405.59
BMW,X1 4X4,Differential,1391.80
