make,model,part,total_paid
CITROEN,DS3,Engine (Various Faults),3125.69
CITROEN,C4 PICASSO,Fuel System,2110.56
CITROEN,C4 PICASSO,Electrical ,1854.30
CITROEN,C1,Ecu (Other),1289.44
CITROEN,DS3,Fuel Injection Pump,1217.71
CITROEN,BERLINGO,Head Unit,1204.03
CITROEN,GRAND PICASSO,Gearbox (Various Faults),1138.49
CITROEN,C4 PICASSO,Fuel Injectors,1090.40
CITROEN,RELAY VAN,Turbocharger,1062.69
CITROEN,GRAND PICASSO,Fuel Injectors,1060.45
CITROEN,C4 PICASSO,Clutch (Various Faults),1043.47
CITROEN,C3 PICASSO,Ecu Engine,1035.00
CITROEN,C4 PICASSO,Abs (Various Faults),1000.00
CITROEN,C3,Catalyst (Exhaust),1000.00
CITROEN,GRAND PICASSO,Fuel System,1000.00
CITROEN,NEMO,Engine (Various Faults),997.77
CITROEN,BERLINGO,Turbocharger,986.89
CITROEN,C1,Clutch (Various Faults),930.54
CITROEN,DS3,Cylinder Head Gasket,908.45
CITROEN,C4,Flywheel,895.60
CITROEN,C4 PICASSO,Fuel System,894.90
CITROEN,C4 PICASSO,Gearbox (Various Faults),884.00
CITROEN,C4,AIR CON (VARIOUS FAULTS),870.00
CITROEN,C4 PICASSO,Flywheel ,865.80
CITROEN,C4 PICASSO,Cylinder Head Gasket,855.12
CITROEN,C4 PICASSO,Alternator,846.51
CITROEN,C4 PICASSO,,808.80
CITROEN,GRAND PICASSO,Fuel Injectors,795.50
CITROEN,GRAND PICASSO,Air Con (Various Faults),781.76
CITROEN,C3 PICASSO,Suspension Pump,780.60
CITROEN,C4,,758.60
CITROEN,C3 PICASSO,Steering Rack,757.02
CITROEN,DS3,Engine (Various Faults),736.20
CITROEN,DS3,Engine (Various Faults),730.00
CITROEN,C4,Alternator,700.36
CITROEN,RELAY VAN,Central Door Locking,681.76
CITROEN,C4 PICASSO,Starter Motor,677.63
CITROEN,DS3,Clutch (Various Faults),674.32
CITROEN,DS3,Fuel Lift Pump,671.70
CITROEN,C3 PICASSO,Turbocharger,654.00
CITROEN,C3 PICASSO,Gearbox (Various Faults),645.33
CITROEN,DS3,Electrical ,626.30
CITROEN,C4,E.G.R Valve,592.69
CITROEN,DISPATCH VAN,Clutch (Various Faults),591.42
CITROEN,NEMO,Engine (Various Faults),584.00
CITROEN,DS5,Engine (Various Faults),574.75
CITROEN,DS4,E.G.R Valve,569.63
CITROEN,C1,Clutch (Various Faults),566.40
CITROEN,CROSSER,Clutch (Various Faults),562.14
CITROEN,C4 PICASSO,Suspension (Various Faults),561.00
CITROEN,C4,Alternator,556.23
CITROEN,C4 PICASSO,Hose/Pipe,554.00
