make,model,part,total_paid
FORD,S MAX,Gearbox (Various Faults),8721.35
FORD,FOCUS ST,Engine (Various Faults),8564.40
FORD,FOCUS ST,Engine (Various Faults),7906.38
FORD,RANGER PICKUP,Engine (Various Faults),7723.85
FORD,RANGER PICKUP,Engine (Various Faults),7688.33
FORD,MONDEO ,Engine (Various Faults),7624.63
FORD,FOCUS,Engine (Various Faults),7440.00
FORD,TRANSIT,Engine (Various Faults),7165.36
FORD,TRANSIT,Engine (Various Faults),7125.79
FORD,FOCUS ST,Engine (Various Faults),7091.52
FORD,S-MAX,Gearbox (Various Faults),4864.96
FORD,S-MAX,Engine (Various Faults),3991.82
FORD,C-MAX,Gearbox (Various Faults),3233.75
FORD,GALAXY,Engine (Various Faults),3136.56
FORD,S-MAX,Gearbox (Various Faults),2954.46
FORD,TRANSIT,Engine (Various Faults),2919.00
FORD,FIESTA,Gearbox (Various Faults),2640.74
FORD,FOCUS,Engine (Various Faults),2584.00
FORD,FOCUS,Gearbox (Various Faults),2500.00
FORD,FOCUS,Gearbox (Various Faults),2300.00
FORD,TRANSIT,Fuel System,2083.54
FORD,S-MAX,Cylinder Head Gasket,1981.06
FORD,FOCUS,,1967.17
FORD,S-MAX,Engine (Various Faults),1960.60
FORD,TRANSIT,Fuel Injectors,1945.62
FORD,KA,Gearbox (Various Faults),1831.85
FORD,C-MAX,Engine (Various Faults),1792.69
FORD,S-MAX,Engine (Various Faults),1784.00
FORD,MONDEO,Gearbox (Various Faults),1720.50
FORD,FOCUS RS,GEARBOX (VARIOUS FAULTS),1714.20
FORD,FOCUS,ENGINE (VARIOUS FAULTS),1500.00
FORD,FOCUS,Gearbox (Various Faults),1500.00
FORD,MONDEO,Flywheel ,1500.00
FORD,TRANSIT,Camshaft Belt,1453.26
FORD,FOCUS,Flywheel ,1411.64
FORD,FIESTA,Ecu (Other),1377.36
FORD,FOCUS ST,Electrical ,1344.00
FORD,FOCUS,Gearbox (Various Faults),1334.00
FORD,TRANSIT,Cylinder Head Gasket,1242.40
FORD,S-MAX,Cooling Fan Motor,1235.18
FORD,S-MAX,Turbocharger,1214.95
FORD,FIESTA,Clutch (Various Faults),1177.73
FORD,C-MAX,Ecu (Other),1165.20
FORD,C-MAX,Electrical ,1163.80
FORD,TRANSIT,Fuel Injectors,1157.11
FORD,FOCUS,Oil Leaks,1145.60
FORD,TRANSIT,Flywheel ,1143.16
FORD,FIESTA,Gearbox (Various Faults),1138.55
FORD,FOCUS ST,Engine (Various Faults),1084.00
FORD,RANGER PICKUP,Engine (Various Faults),1084.00
FORD,FOCUS,Engine (Various Faults),1084.00
FORD,B-MAX,Gearbox (Various Faults),1084.00
FORD,TRANSIT,Gearbox (Various Faults),1083.76
FORD,TRANSIT,Flywheel,1082.70
FORD,KA,Gearbox (Various Faults),1078.01
FORD,FOCUS,Clutch (Various Faults),1021.60
FORD,TRANSIT,Gearbox (Various Faults),1020.68
FORD,FIESTA,Turbocharger,1019.40
FORD,FOCUS,GEARBOX (VARIOUS FAULTS),1016.00
FORD,TRANSIT VAN,,1000.00
FORD,FIESTA ST,Air Con (Various Faults),1000.00
FORD,TRANSIT,Engine (Various Faults),1000.00
FORD,FIESTA ST,Engine (Various Faults),1000.00
FORD,FOCUS,Engine (Various Faults),1000.00
FORD,TRANSIT,Engine (Various Faults),1000.00
FORD,MONDEO,Steering Rack,1000.00
FORD,FOCUS,Clutch (Various Faults),1000.00
FORD,GALAXY,Gearbox (Various Faults),1000.00
FORD,C-MAX,Gearbox (Various Faults),1000.00
FORD,FOCUS,Gearbox (Various Faults),987.00
FORD,TRANSIT,Cooling Fan Motor,971.00
FORD,FIESTA ST,Turbocharger,957.29
FORD,KUGA,Oil Leaks,954.00
FORD,TRANSIT,Gearbox (Various Faults),950.00
FORD,TRANSIT,Cylinder Head Gasket,944.24
FORD,FOCUS,Air Con (Various Faults),939.39
FORD,FOCUS,Clutch (Various Faults),936.15
FORD,B-MAX,Gearbox (Various Faults),932.15
FORD,MONDEO,Cylinder Head Gasket,924.39
FORD,FOCUS,Flywheel ,922.81
FORD,RANGER PICKUP,Ecu (Other),912.40
FORD,FOCUS ST,Headlamp/ Fog Lamp Unit,909.60
FORD,FIESTA,Turbocharger,907.06
FORD,FIESTA,Clutch (Various Faults),905.00
FORD,TRANSIT,Engine (Various Faults),899.75
FORD,GALAXY,Fuel Injectors,892.80
FORD,FOCUS,Fuel Injectors,886.21
FORD,FIESTA,Gearbox (Various Faults),879.19
FORD,TRANSIT,Turbocharger,878.38
FORD,B-MAX,Gearbox (Various Faults),860.00
FORD,FOCUS,Air Con (Various Faults),859.50
FORD,FIESTA,Clutch (Various Faults),858.35
FORD,FOCUS ST,Electrical ,857.95
FORD,TRANSIT,Turbocharger,853.50
FORD,FIESTA,Gearbox (Various Faults),850.83
FORD,C-MAX,Steering Rack,834.00
FORD,GALAXY,Engine (Various Faults),834.00
FORD,FOCUS,Engine (Various Faults),834.00
FORD,FIESTA ST,Engine (Various Faults),824.50
FORD,FOCUS,Multimedia,818.04
FORD,C-MAX,Alternator,815.04
FORD,FIESTA,Gearbox (Various Faults),813.20
FORD,B-MAX,Clutch (Various Faults),807.40
FORD,TRANSIT,Gearbox (Various Faults),805.32
FORD,RANGER PICKUP,Air Con (Various Faults),804.98
FORD,RANGER PICKUP,Ecu (Other),801.40
FORD,TRANSIT,Steering Pump,793.34
FORD,TRANSIT,Fuel System,789.46
FORD,FOCUS,Gearbox (Various Faults),784.00
FORD,FIESTA,Engine (Various Faults),784.00
FORD,FIESTA,Ignition Coil,782.82
FORD,FOCUS,Steering Rack,781.50
FORD,B-MAX,Oil Leaks,779.13
FORD,FOCUS,Steering Column,774.96
FORD,RANGER PICKUP,Air Con (Various Faults),774.04
FORD,C-MAX,Fuel Lift Pump,772.20
FORD,FOCUS,Air Con (Various Faults),771.41
FORD,FOCUS,Clutch (Various Faults),770.92
FORD,FIESTA,Engine (Various Faults),751.76
FORD,S-MAX,Turbocharger,750.00
FORD,RANGER PICKUP,Air Con (Various Faults),748.39
FORD,FIESTA,Gearbox (Various Faults),742.89
FORD,FIESTA ST,Gearbox (Various Faults),734.00
FORD,C-MAX,,732.24
FORD,FOCUS,Gearbox (Various Faults),732.23
FORD,KUGA,,727.40
FORD,RANGER PICKUP,Electrical,726.40
FORD,FIESTA,Turbocharger,724.64
FORD,TRANSIT,Steering Pipe,715.09
FORD,RANGER PICKUP,Air Con (Various Faults),708.40
FORD,FIESTA ST,Cylinder Head Gasket,705.50
FORD,B-MAX,Electrical ,700.40
FORD,B-MAX,Clutch (Various Faults),700.00
FORD,FOCUS,Clutch (Various Faults),700.00
FORD,FOCUS,Steering Rack,700.00
FORD,B-MAX,Wiring Loom,697.51
FORD,MONDEO,Electrical ,695.40
FORD,FOCUS,Gearbox (Various Faults),688.40
FORD,S-MAX,Fuel System,688.00
FORD,C-MAX,Steering Rack,685.06
FORD,KUGA,Clutch (Various Faults),683.63
FORD,MONDEO,Flywheel ,683.23
FORD,FOCUS ST,Catalyst (Exhaust),681.86
FORD,FIESTA,Gearbox (Various Faults),680.08
FORD,FOCUS,Drive Shaft,678.98
FORD,MONDEO,Cylinder Head Gasket,673.48
FORD,FIESTA ST,Flywheel ,671.58
FORD,C-MAX,Alternator,666.90
FORD,C-MAX,Steering Rack,654.00
FORD,FOCUS,Gearbox (Various Faults),650.00
FORD,TRANSIT,Turbocharger,649.16
FORD,TRANSIT,Turbocharger,645.97
FORD,TRANSIT,Engine (Various Faults),645.83
FORD,C-MAX,Clutch (Various Faults),634.00
FORD,MONDEO,Abs Pump ,634.00
FORD,KUGA,Clutch (Various Faults),628.80
FORD,FIESTA,Water Pump,626.84
FORD,FIESTA ST,Steering Pump,624.07
FORD,TRANSIT,Clutch (Various Faults),622.92
FORD,TRANSIT VAN,,612.00
FORD,FOCUS,Heater Matrix,610.80
FORD,MONDEO,Engine (Various Faults),610.21
FORD,TRANSIT,Engine (Various Faults),606.13
FORD,FIESTA,Clutch (Various Faults),604.00
FORD,FOCUS,Fuel System,602.78
FORD,FOCUS,Air Con (Various Faults),592.19
FORD,RANGER PICKUP,Turbocharger,588.53
FORD,FOCUS,Steering Rack,587.50
FORD,FIESTA ST,Fuel System,584.81
FORD,MONDEO,Gearbox (Various Faults),584.00
FORD,FIESTA,Engine (Various Faults),584.00
FORD,TRANSIT,Fuel Injection Pump,582.46
FORD,RANGER PICKUP,Cv Joint,582.05
