make,model,part,total_paid
HONDA,S2000,Engine (Various Faults),6215.76
HONDA,FRV,Gearbox (Transfer),5504.41
HONDA,CRV,Ecu Engine,3276.48
HONDA,CRV,Turbocharger,3189.84
HONDA,CIVIC TYPE R,Suspension (Various Faults),3025.58
HONDA,CRV,Fuel System,2893.20
HONDA,CRV,Engine,2823.14
HONDA,ACCORD,Steering Rack,2789.16
HONDA,CIVIC,Gearbox (Various Faults),2730.00
HONDA,CRV,Clutch (Various Faults),2699.44
HONDA,CRV,Prop Shaft,1926.19
HONDA,CIVIC,Dpf Filter,1846.40
HONDA,CR-V,,1282.82
HONDA,CR-V,,1282.82
HONDA,CRV,Turbocharger,1228.08
HONDA,CIVIC TYPE R,Ecu (Other),1153.80
HONDA,CRV,Turbocharger,1134.90
HONDA,CRV,Clutch (Various Faults),1103.50
HONDA,JAZZ,Clutch (Various Faults),884.00
HONDA,CIVIC TYPE R,Drive Shaft,775.51
HONDA,CRV,Fuel System,759.00
HONDA,CIVIC,Gearbox (Various Faults),720.00
HONDA,CIVIC TYPE R,Electrical ,690.29
HONDA,CIVIC,Electrical ,635.59
HONDA,CRV,Air Con (Various Faults),626.14
HONDA,CIVIC,Brakes,593.02
HONDA,CRV,Turbocharger,583.00
HONDA,CIVIC,Air Con (Various Faults),579.22
HONDA,CRV,Wiper Motor,541.84
HONDA,CRV,Wiper Motor,513.14
HONDA,CIVIC,Air Con (Various Faults),500.00
HONDA,CRV,Air Con (Various Faults),500.00
HONDA,ACCORD,Dpf Filter,500.00
HONDA,CIVIC,Clutch (Various Faults),500.00
HONDA,ACCORD,Dpf Filter,500.00
HONDA,CIVIC,Electrical,491.76
HONDA,ACCORD,Alternator,488.20
HONDA,CRV,Air Con (Various Faults),460.34
HONDA,CIVIC,Heater Matrix,449.21
HONDA,CRV,Alternator,438.68
HONDA,CIVIC,Clutch (Various Faults),429.94
HONDA,CRV,Flywheel ,428.15
HONDA,CIVIC,Air Con (Various Faults),426.48
HONDA,CIVIC,Starter Motor,418.75
HONDA,CRV,Clutch (Various Faults),410.69
HONDA,CRV,Alternator,386.00
HONDA,CIVIC,Electrical ,376.00
HONDA,CIVIC TYPE R,Electrical ,369.18
HONDA,JAZZ,Air Con (Various Faults),347.70
HONDA,CIVIC TYPE R,Wiper Motor,346.54
HONDA,CRV,Clutch (Various Faults),346.12
HONDA,CRV,Air Con (Various Faults),341.17
HONDA,JAZZ,Window Motor,340.42
HONDA,CIVIC,Air Con (Various Faults),338.80
HONDA,FRV,Steering Pump,331.94
HONDA,CIVIC TYPE R,Clutch (Various Faults),324.50
HONDA,CIVIC,Clutch (Various Faults),320.35
HONDA,CRV,Abs (Various Faults),310.80
HONDA,CIVIC,Alternator,309.80
HONDA,CIVIC TYPE R,Brakes (Various Faults),300.00
HONDA,CIVIC,,300.00
HONDA,CRV,Radiator,287.14
HONDA,CIVIC,Brakes (Various Faults),282.36
HONDA,CIVIC,Air Con (Various Faults),275.92
HONDA,CRV,Fuel Injectors,275.70
HONDA,ACCORD,Dpf Filter,275.00
HONDA,CRV,Alternator,267.68
HONDA,ACCORD,Brakes (Various Faults),262.37
HONDA,JAZZ,Brake Caliper/Discs,256.29
HONDA,CRV,Drive Shaft,249.76
HONDA,ACCORD,Alternator,246.23
HONDA,CRV,Wheel Bearing,244.78
HONDA,ACCORD,Alternator,242.69
HONDA,CRV,Suspension (Various Faults),239.26
HONDA,CIVIC,Air Con (Various Faults),236.44
HONDA,ACCORD,Brakes (Various Faults),215.03
HONDA,CRV,Oil Leaks,208.72
HONDA,ACCORD,Track Rod Ends,201.70
HONDA,CIVIC,Brakes (Various Faults),200.00
HONDA,FRV,Brakes (Various Faults),182.88
HONDA,CRV,Drive Shaft,170.95
HONDA,JAZZ,Brakes (Various Faults),165.90
HONDA,CRV,Suspension (Various Faults),162.52
HONDA,FRV,Water Pump,162.08
HONDA,CRV,Sensors,150.00
HONDA,CRV,Window Glass ,150.00
HONDA,CRV,Suspension (Various Faults),135.97
HONDA,CRV,Shock Absorber,132.64
HONDA,JAZZ,Camshaft Sensor,131.65
HONDA,CIVIC TYPE R,Suspension (Various Faults),129.77
HONDA,CIVIC,Window Motor,120.70
HONDA,JAZZ,Spring (Suspension),117.64
HONDA,JAZZ,Oxygen (Lambda) Sensor,117.60
HONDA,CIVIC,Heater/Glow Plugs,113.48
HONDA,CIVIC,Electrical ,107.70
HONDA,JAZZ,Sensors,98.25
HONDA,CRV,Suspension (Various Faults),89.27
HONDA,CR-V,,85.68
HONDA,CR-V,,85.68
HONDA,CIVIC,,85.68
HONDA,CIVIC,,85.68
HONDA,CRV,Suspension,85.60
HONDA,CRV,Drive Shaft,84.00
HONDA,CRV,Steering Rack,84.00
HONDA,CRV,Abs (Various Faults),81.21
HONDA,CRV,ABS (VARIOUS FAULTS),81.21
HONDA,CRV,Abs (Various Faults),73.95
