make,model,part,total_paid
KIA,SPORTAGE,Engine (Various Faults),7112.58
KIA,RIO,Engine (Various Faults),6333.98
KIA,SPORTAGE,Engine (Various Faults),5586.00
KIA,SPORTAGE,Turbocharger,4943.16
KIA,SORENTO,Gearbox (Various Faults),4683.90
KIA,SORENTO,Gearbox (Various Faults),4667.41
KIA,SORENTO,Gearbox (Various Faults),4295.04
KIA,SPORTAGE,Gearbox (Various Faults),4137.00
KIA,SPORTAGE,Dpf Filter,4104.71
KIA,SORENTO ,Engine (Various Faults),4008.00
KIA,OPTIMA,Multimedia,1000.00
KIA,SORENTO,Prop Shaft,926.04
KIA,OPTIMA,Air Con (Various Faults),894.00
KIA,RIO,Turbocharger,610.18
KIA,VENGA,Air Con (Various Faults),600.00
KIA,SPORTAGE,Clutch (Various Faults),592.68
KIA,SPORTAGE,Gearbox (Various Faults),581.88
KIA,RIO,Gearbox (Various Faults),549.40
KIA,CEE'D,Gearbox (Various Faults),544.00
KIA,SORENTO,Mirror Assembly,517.25
KIA,VENGA,Catalyst (Exhaust),513.35
KIA,SORENTO,Gearbox (Various Faults),500.00
KIA,CEE'D,Air Con (Various Faults),490.88
KIA,CEE'D,Air Con (Various Faults),476.70
KIA,CEE'D,Fuel System,461.76
KIA,PICANTO,Brakes (Various Faults),424.66
KIA,CEE'D,Fuel Lift Pump,410.11
KIA,SEDONA,Air Con (Various Faults),384.88
KIA,SEDONA,Alternator,384.52
KIA,SORENTO,Fuel System,383.03
KIA,SOUL,Starter Motor,382.00
KIA,SPORTAGE,Multimedia,380.36
KIA,SPORTAGE,Clutch (Various Faults),378.92
KIA,SEDONA,Electrical ,362.87
KIA,SORENTO,Clutch (Various Faults),358.38
KIA,CARENS,Alternator,352.84
KIA,PICANTO,Ecu Engine,346.20
KIA,SEDONA,Air Con (Various Faults),337.20
KIA,SORENTO,Fuel Injectors,330.65
KIA,SORENTO,Electrical,330.37
KIA,SOUL,Clutch (Various Faults),327.00
KIA,CARENS,Radiator,326.40
KIA,SPORTAGE,Air Con (Various Faults),311.99
KIA,SPORTAGE,Steering Pump,311.25
KIA,CARENS,Heater Matrix,310.14
KIA,PICANTO,Clutch (Various Faults),294.00
KIA,PICANTO,Abs (Various Faults),282.60
KIA,SPORTAGE,Wheel Bearing,279.73
KIA,SPORTAGE,Flywheel ,272.20
KIA,SPORTAGE,Fuel System (Various Faults),263.02
KIA,CEE'D,Fuel System,260.00
KIA,SPORTAGE,Dpf Filter,260.00
KIA,CARENS,Engine (Various Faults),252.00
KIA,SPORTAGE,Alternator,250.00
KIA,CEE'D,Wheel Bearing,233.23
KIA,SPORTAGE,Starter Motor,230.70
KIA,SOUL,AIR CON (VARIOUS FAULTS),227.74
KIA,PICANTO,Alternator,227.00
KIA,PICANTO,Brake Caliper/Discs,224.82
KIA,SPORTAGE,Clutch (Various Faults),214.79
KIA,VENGA,Air Flow Meter,206.75
KIA,SOUL,Central Door Locking,193.86
KIA,RIO,Starter Motor,188.52
KIA,PICANTO,Starter Motor,182.80
KIA,PICANTO,Starter Motor,178.56
KIA,SPORTAGE,Suspension (Various Faults),178.05
KIA,SPORTAGE,,175.00
KIA,SPORTAGE,Fuel System,168.00
KIA,PRO CEE'D,Clutch (Various Faults),164.98
KIA,SOUL,Electrical ,160.76
KIA,PICANTO,Central Door Locking,156.00
KIA,PICANTO,Ignition Coil,152.00
KIA,PICANTO,Brakes (Various Faults),150.38
KIA,CARENS,E.G.R Valve,150.20
KIA,CARENS,Fuel System (Various Faults),150.00
KIA,SPORTAGE,Alternator,150.00
KIA,SORENTO,Spring (Suspension),133.50
KIA,SPORTAGE,Clutch (Various Faults),132.07
KIA,PICANTO,,129.95
KIA,SPORTAGE,Sensors,127.70
KIA,PICANTO,Wheel Bearing,123.70
KIA,SPORTAGE,Electrical ,105.60
KIA,SPORTAGE,Seat Belt,96.40
KIA,SPORTAGE,Wheel Bearing,96.30
KIA,SPORTAGE,Water Pump,95.34
KIA,CEE'D,Wheel Bearing,89.17
KIA,NIRO,,85.68
KIA,RIO,,85.68
KIA,PICANTO,,85.68
KIA,SPORTAGE,,85.68
KIA,SPORTAGE,,85.68
KIA,SOUL,,85.68
KIA,VENGA,,85.46
KIA,PICANTO,Wheel Bearing,84.46
KIA,SOUL,Steering Rack,84.00
KIA,SPORTAGE,Gearbox (Various Faults),84.00
KIA,SPORTAGE,Gearbox (Various Faults),84.00
KIA,CEE'D,Air Bag System,80.00
KIA,RIO,Clutch (Various Faults),67.75
