make,model,part,total_paid
MAZDA,6,Engine (Various Faults),4829.84
MAZDA,CX5,Engine (Various Faults),3000.00
MAZDA,CX5,Cylinder Head Gasket,1250.00
MAZDA,CX5,Clutch (Various Faults),1247.50
MAZDA,6,Turbocharger,1139.78
MAZDA,6,Steering Rack,1044.00
MAZDA,3,Engine (Various Faults),1000.00
MAZDA,6,Clutch (Various Faults),909.96
MAZDA,6,Turbocharger,830.00
MAZDA,6,Clutch (Various Faults),750.00
MAZDA,CX7,Drive Shaft,674.66
MAZDA,6,Engine (Various Faults),580.00
MAZDA,5,Clutch (Various Faults),493.73
MAZDA,6,Fuel System,400.00
MAZDA,5,Fuel System,371.77
MAZDA,MX5,Starter Motor,368.85
MAZDA,MX5,Clutch (Various Faults),356.83
MAZDA,5,Spring (Suspension),342.44
MAZDA,MX5,Air Con (Various Faults),316.99
MAZDA,6,Starter Motor,309.00
MAZDA,CX5,Engine (Various Faults),308.43
MAZDA,CX5,Engine (Various Faults),300.00
MAZDA,MX5,Multimedia,285.00
MAZDA,3,Fuel System,274.00
MAZDA,6,Radiator,269.42
MAZDA,6,Brakes (Various Faults),255.58
MAZDA,2,Steering Column,230.86
MAZDA,6,Window Motor,227.17
MAZDA,2,Starter Motor,223.30
MAZDA,2,Starter Motor,215.00
MAZDA,2,Fuel System,214.00
MAZDA,2,Suspension (Various Faults),209.65
MAZDA,5,Shock Absorber,208.00
MAZDA,MX5,Oxygen (Lambda) Sensor,200.00
MAZDA,2,Fuel System,198.70
MAZDA,2,Fuel System,198.70
MAZDA,5,Radiator,188.38
MAZDA,MX5,Oxygen (Lambda) Sensor,186.00
MAZDA,2,Water Pump,176.50
MAZDA,6,Water Pump,170.33
MAZDA,5,Suspension (Various Faults),166.79
MAZDA,MX5,Spring (Suspension),164.64
MAZDA,2,Cv Joint,163.20
MAZDA,6,Spring (Suspension),156.36
MAZDA,3,Fuel System,152.80
MAZDA,5,Clutch (Various Faults),150.00
MAZDA,5,Suspension (Various Faults),146.07
MAZDA,2,Suspension (Various Faults),124.80
MAZDA,6,Cv Joint,122.20
MAZDA,MX5,Clutch (Various Faults),121.90
MAZDA,3,Spring (Suspension),113.83
MAZDA,2,Wheel Bearing,102.76
MAZDA,MX5,Spring (Suspension),101.80
MAZDA,6,Wheel Bearing,95.47
MAZDA,3,Abs Pump,91.70
MAZDA,3,Engine (Various Faults),84.00
MAZDA,6,Engine (Various Faults),84.00
MAZDA,CX5,Gearbox (Various Faults),84.00
MAZDA,CX5,Engine (Various Faults),84.00
MAZDA,3,Suspension (Various Faults),80.52
MAZDA,2,Suspension (Various Faults),54.07
