make,model,part,total_paid
MINI,COUNTRYMAN,Engine (Various Faults),8966.30
MINI,COOPER S,Engine (Various Faults),8637.76
MINI,CLUBMAN,Camshaft Belt,8089.26
MINI,COOPER S,Gearbox (Various Faults),7878.23
MINI,CLUBMAN,Engine (Various Faults),7637.11
MINI,COOPER S,Oil Pump,7618.80
MINI,COOPER S,Engine (Various Faults),7144.54
MINI,CLUBMAN,Engine (Various Faults),6595.75
MINI,CLUBMAN,Engine (Various Faults),6529.80
MINI,COOPER,Engine (Various Faults),6523.60
MINI,COUNTRYMAN,Engine (Various Faults),4404.00
MINI,COOPER S,Timing Chain,2489.95
MINI,CLUBMAN,Engine (Various Faults),2084.00
MINI,COOPER S,Engine (Various Faults),2084.00
MINI,CLUBMAN,Engine (Various Faults),1874.02
MINI,COOPER,Timing Chain,1631.60
MINI,JOHN COOPER WORKS,Engine (Various Faults),1584.00
MINI,CLUBVAN,Gearbox (Various Faults),1450.80
MINI,COOPER S,Fuel Injection Pump,1349.99
MINI,COOPER S,Engine (Various Faults),1334.00
MINI,COUNTRYMAN,Engine (Various Faults),1333.01
MINI,CONVERTIBLE,Multimedia,1223.88
MINI,JOHN COOPER WORKS,Fuel System,1143.18
MINI,COUNTRYMAN,Vanos Unit,1079.59
MINI,COOPER S,Fuel Injection Pump,1076.32
MINI,COOPER S,Fuel System,1048.82
MINI,COOPER S,FUEL LIFT PUMP,1033.71
MINI,COOPER S,Fuel System,1014.82
MINI,COUNTRYMAN,Multimedia,1007.53
MINI,JOHN COOPER WORKS,Turbocharger,1000.38
MINI,COOPER,Electrical ,1000.00
MINI,CONVERTIBLE,Engine (Various Faults),1000.00
MINI,COUNTRYMAN,Multimedia,996.89
MINI,COOPER S,Fuel Injection Pump,982.69
MINI,CLUBMAN,Fuel Injection Pump,981.76
MINI,COOPER S,Fuel System,962.94
MINI,CLUBVAN,Fuel Injection Pump,954.30
MINI,PACEMAN,Vanos Unit,941.06
MINI,COOPER S,Fuel Injection Pump,933.70
MINI,COOPER S,Fuel Injection Pump,900.00
MINI,JOHN COOPER WORKS,Engine (Various Faults),885.65
MINI,CLUBMAN,Engine (Various Faults),884.00
MINI,COOPER,Gearbox (Various Faults),859.58
MINI,COOPER S,Fuel System,853.99
MINI,CLUBMAN,Gearbox (Various Faults),838.00
MINI,COOPER,Engine (Various Faults),834.00
MINI,COUNTRYMAN,Multimedia,828.50
MINI,CLUBMAN,Dpf Filter,804.00
MINI,CLUBMAN,Turbocharger,800.00
MINI,COUNTRYMAN,Engine (Various Faults),788.35
MINI,COOPER,Abs Pump ,762.60
MINI,JOHN COOPER WORKS,Vanos Unit,752.65
MINI,HATCH,Cylinder Head Gasket,750.00
MINI,COOPER,Electrical ,750.00
MINI,COOPER,Engine (Various Faults),746.58
MINI,CLUBMAN,Clutch (Various Faults),720.04
MINI,CONVERTIBLE,Multimedia,710.16
MINI,COUNTRYMAN,Alternator,702.59
MINI,COUNTRYMAN,,700.00
MINI,COOPER,Engine (Various Faults),684.00
MINI,CLUBMAN,Wheel Bearing,680.04
MINI,COUNTRYMAN,Electrical ,646.48
MINI,ONE,Cylinder Head Gasket,639.22
MINI,CONVERTIBLE,Window Motor,629.96
MINI,COOPER,Turbocharger,620.80
MINI,COOPER S,Engine (Various Faults),617.00
MINI,COOPER S,Clutch (Various Faults),608.06
MINI,COUNTRYMAN,Clutch (Various Faults),600.00
MINI,CONVERTIBLE,Engine (Various Faults),591.95
MINI,COUNTRYMAN,Ecu (Other),589.14
MINI,COUNTRYMAN,E.G.R Valve,588.67
MINI,ONE,Timing Chain,582.73
MINI,HATCHBACK,Electrical,581.61
MINI,COOPER,Inlet Manifold,581.23
MINI,JOHN COOPER WORKS,Engine (Various Faults),568.05
MINI,COOPER S,Ecu (Other),566.18
MINI,COOPER S,Engine (Various Faults),552.64
MINI,COUNTRYMAN,Turbocharger,550.00
MINI,COOPER S,Ecu (Other),541.40
MINI,CLUBMAN,Gearbox (Various Faults),538.50
MINI,COUNTRYMAN,Air Con (Various Faults),524.64
MINI,COOPER S,Electrical ,520.01
MINI,COOPER,Air Con (Various Faults),519.35
MINI,PACEMAN,E.G.R Valve,515.76
MINI,COOPER S,Oxygen (Lambda) Sensor,508.85
MINI,COOPER S,Fuel System,504.40
MINI,COOPER S,Fuel Lift Pump,502.00
MINI,COOPER,Brakes (Various Faults),500.00
MINI,COOPER,Turbocharger,500.00
MINI,COOPER S,Clutch (Various Faults),500.00
MINI,COOPER S,Thermostat,500.00
MINI,COUNTRYMAN,Engine (Various Faults),499.00
MINI,COOPER S,Engine (Various Faults),489.89
MINI,COOPER,Cylinder Head Gasket,489.35
MINI,COOPER S,Timing Chain,486.24
MINI,COOPER S,Thermostat Housing,485.75
MINI,ONE,Engine (Various Faults),479.63
MINI,COOPER S,Oil Leaks,474.95
MINI,COOPER S,Fuel Injection Pump,473.46
MINI,CONVERTIBLE,Engine (Various Faults),468.00
MINI,COOPER S,Engine (Various Faults),465.56
MINI,CLUBMAN,Air Con (Various Faults),464.96
MINI,COOPER S,Engine (Various Faults),462.92
MINI,COUNTRYMAN,Timing Chain,455.32
MINI,CLUBMAN,Engine (Various Faults),452.83
MINI,COUNTRYMAN,Fuel Injection Pump,452.52
MINI,COOPER S,Oil Leaks,451.31
MINI,COOPER,ENGINE (VARIOUS FAULTS),450.00
MINI,COOPER,Air Con (Various Faults),447.55
MINI,COOPER,Air Flow Meter,445.52
MINI,COOPER S,Air Con (Various Faults),441.36
MINI,COOPER,Fuel Injection Pump,440.10
MINI,CONVERTIBLE,Engine (Various Faults),433.00
MINI,CLUBMAN,Thermostat Housing,432.00
MINI,ONE,Alternator,426.29
MINI,COUNTRYMAN,Heater Fan Motor,420.36
MINI,COOPER,Air Bag System,418.00
MINI,COOPER S,Heater Fan Motor,417.98
MINI,CLUBMAN,Engine (Various Faults),417.00
MINI,CLUBMAN,Engine (Various Faults),413.04
MINI,COOPER S,Engine (Various Faults),412.01
MINI,COOPER,Brakes (Various Faults),412.00
MINI,COOPER S,Fuel Injection Pump,409.50
MINI,COOPER,Wiring Loom,408.00
MINI,ONE,Heater Fan Motor,405.56
MINI,COOPER,Engine (Various Faults),401.52
MINI,COUNTRYMAN,Central Door Locking,401.42
MINI,COOPER S,Clutch (Various Faults),400.98
MINI,ONE,Clutch (Various Faults),400.00
MINI,COOPER,Heating System,400.00
MINI,COOPER,Cylinder Head Gasket,400.00
MINI,COOPER S,Timing Chain,400.00
MINI,COOPER,Air Flow Meter,395.70
MINI,COOPER,Brakes (Various Faults),390.54
MINI,COOPER,Steering Rack,388.51
MINI,COUNTRYMAN,Thermostat Housing,388.28
MINI,COOPER,Air Con (Various Faults),387.46
MINI,COOPER S,Thermostat Housing,385.97
MINI,COUNTRYMAN,Fuel Lift Pump,384.44
MINI,COUNTRYMAN,Brakes (Various Faults),383.28
MINI,COOPER,Electrical ,382.40
MINI,HATCHBACK,E.G.R Valve,379.03
MINI,COOPER S,Fuel System,377.15
MINI,COOPER,Air Con (Various Faults),372.50
MINI,HATCH,Electrical ,370.24
MINI,COOPER S,Fuel System,370.15
MINI,COOPER S,Fuel System,370.15
MINI,COOPER S,Water Pump,368.20
MINI,COOPER S,Clutch (Various Faults),363.81
MINI,COOPER S,Fuel System,363.50
MINI,COOPER S,Cylinder Head Gasket,362.19
MINI,COOPER,Abs (Various Faults),360.00
MINI,CLUBMAN,Window Regulator,358.42
MINI,FIRST,Alternator,358.29
MINI,COOPER S,Alternator,357.17
MINI,JOHN COOPER WORKS,Heater Fan Motor,356.78
MINI,COOPER S,Wheel Bearing,355.07
MINI,COOPER S,Turbocharger,350.00
MINI,ONE,Cylinder Head Gasket,350.00
MINI,COOPER S,Engine (Various Faults),348.10
MINI,JOHN COOPER WORKS,Thermostat,343.09
MINI,COOPER,Steering Pump,341.50
MINI,ONE,Air Con (Various Faults),341.50
MINI,COUNTRYMAN,E.G.R Valve,338.84
MINI,CLUBMAN,Sensors,334.36
MINI,COOPER,Air Con (Various Faults),331.50
MINI,HATCH,Air Con (Various Faults),331.00
MINI,COOPER S,Thermostat,330.59
MINI,COOPER S,Fuel System,330.00
MINI,COOPER,Thermostat Housing,324.84
MINI,COOPER,E.G.R Valve,323.92
MINI,ONE,Alternator,323.74
MINI,ONE,Steering Pump,320.49
MINI,ONE,Thermostat,313.20
MINI,COOPER,Radiator,313.12
MINI,COOPER,Vanos Unit,312.70
MINI,COOPER,Water Pump,310.50
MINI,COOPER S,Thermostat Housing,305.64
MINI,COOPER,Wheel Bearing,302.63
MINI,COOPER,Gearbox (Various Faults),300.00
MINI,JOHN COOPER WORKS,Turbocharger,300.00
MINI,HATCH,Water Pump,290.80
MINI,COOPER S,Thermostat,289.19
MINI,COOPER,Cruise Control (Da),288.41
MINI,COUNTRYMAN,Wheel Bearing,288.01
MINI,COOPER,Electrical ,287.36
MINI,CONVERTIBLE,Shock Absorber,286.10
MINI,ONE,Air Con (Various Faults),284.32
MINI,COOPER S,Electrical ,283.54
MINI,COOPER,Air Con (Various Faults),281.14
MINI,COOPER S,Thermostat Housing,280.00
MINI,COOPER S,,273.07
MINI,ONE,Air Con (Various Faults),271.71
MINI,COUNTRYMAN,Thermostat,270.13
MINI,COUNTRYMAN,Thermostat Housing,268.46
MINI,CLUBMAN,Water Pump,266.80
MINI,COOPER,Sensors,265.57
MINI,COUNTRYMAN,Water Pump,265.50
MINI,COOPER S,Drive Shaft,263.10
MINI,CONVERTIBLE,Thermostat,262.54
MINI,COOPER S,Clutch (Various Faults),259.99
MINI,COUNTRYMAN,Thermostat,258.34
MINI,ONE,Thermostat,255.50
MINI,COOPER,Thermostat,254.91
MINI,ONE,Oxygen (Lambda) Sensor,251.00
MINI,COOPER S,Alternator,250.48
MINI,ONE,Mot Insurance,250.00
MINI,COOPER,Multimedia,250.00
MINI,COOPER,Brakes (Various Faults),250.00
MINI,COOPER S,Fuel System,250.00
