make,model,part,total_paid
MERCEDES,SPRINTER,Engine (Various Faults),8024.40
MERCEDES,S ,Turbocharger,7732.80
MERCEDES,M CLASS,Shock Absorber,7656.24
MERCEDES,GL CLASS,Suspension (Various Faults),7626.88
MERCEDES,S CLASS,Engine (Various Faults),7522.66
MERCEDES,CLK ,Camshaft Tensioner,7166.11
MERCEDES,CLS ,Gearbox (Various Faults),7134.00
MERCEDES,AMG ,Engine (Various Faults),7069.68
MERCEDES,S CLASS,Gearbox (Various Faults),7020.48
MERCEDES,SL ,Headlamp/Fog Lamp Unit,6960.22
MERCEDES,C63 AMG,Engine (Various Faults),5158.76
MERCEDES,ML CLASS,Multimedia,2795.20
MERCEDES,R CLASS,Turbocharger,2771.20
MERCEDES,GL CLASS,Brakes,2681.00
MERCEDES,A CLASS,Engine (Various Faults),2656.80
MERCEDES,SLS AMG,Gearbox (Various Faults),2566.80
MERCEDES,GL CLASS,Multimedia,2531.82
MERCEDES,SLK CLASS,Engine (Various Faults),2427.94
MERCEDES,GLA45 AMG,Gearbox (Various Faults),2352.59
MERCEDES,A CLASS,Fuel System,2255.40
MERCEDES,GLA CLASS,Gearbox (Various Faults),2172.94
MERCEDES,A45 AMG,Turbocharger,2000.00
MERCEDES,S CLASS,Camshaft Tensioner,1971.22
MERCEDES,CLS63 AMG,Vanos Unit,1962.86
MERCEDES,CL CLASS,Abs (Various Faults),1933.44
MERCEDES,C CLASS,Road Wheels,1871.12
MERCEDES,C63 AMG,,1795.20
MERCEDES,ML CLASS,Gearbox (Various Faults),1715.92
MERCEDES,S CLASS,Fuel System (Various Faults),1700.40
MERCEDES,GLA CLASS,Oil Leaks,1567.44
MERCEDES,S CLASS,Mot Insurance,1503.20
MERCEDES,S CLASS,Mirror Assembly,1466.10
MERCEDES,C CLASS,Ecu (Other),1459.32
MERCEDES,C43 AMG,Abs (Various Faults),1450.16
MERCEDES,B CLASS,Abs (Various Faults),1422.36
MERCEDES,A45 AMG,Turbocharger,1418.20
MERCEDES,A CLASS,Turbocharger,1413.23
MERCEDES,C63 AMG,Suspension (Various Faults),1375.68
MERCEDES,GLC CLASS,Electrical ,1328.40
MERCEDES,E CLASS,Ad Blue System (Emissions),1306.80
MERCEDES,S CLASS,Multimedia,1208.16
MERCEDES,C CLASS,Engine (Various Faults),1207.90
MERCEDES,A CLASS,Clutch (Various Faults),1184.43
MERCEDES,C CLASS,Vacuum Pump,1181.52
MERCEDES,A CLASS,Gearbox (Various Faults),1168.40
MERCEDES,E CLASS,Water Pump,1162.91
MERCEDES,SL CLASS,Roof (Motors / Electrics),1150.00
MERCEDES,C CLASS,Multimedia,1137.30
MERCEDES,ML CLASS,Central Door Locking,1106.08
MERCEDES,C CLASS,Fuel System,1103.88
MERCEDES,C CLASS,Engine (Various Faults),1096.00
MERCEDES,E CLASS,Engine (Various Faults),1081.85
MERCEDES,E CLASS,Intercooler,1049.34
MERCEDES,A CLASS,Turbocharger,1019.22
MERCEDES,E CLASS,Cylinder Head Gasket,1016.50
MERCEDES,E CLASS,Suspension (Various Faults),1016.10
MERCEDES,S CLASS,Oil Leaks,1000.00
MERCEDES,S CLASS,Multimedia/ Sat,1000.00
MERCEDES,B CLASS,Gearbox (Various Faults),1000.00
MERCEDES,S CLASS,Air Con (Various Faults),998.40
MERCEDES,C CLASS,Ecu Engine,988.20
MERCEDES,SL CLASS,Electrical ,987.60
MERCEDES,C CLASS,Suspension (Various Faults),981.00
MERCEDES,S CLASS,Suspension (Various Faults),977.80
MERCEDES,VITO,Instrument Cluster / Clocks,973.60
MERCEDES,SLK CLASS,Electrical ,957.24
MERCEDES,A CLASS,Turbocharger,957.00
MERCEDES,B CLASS,Gearbox (Various Faults),956.40
MERCEDES,S CLASS,Air Con (Various Faults),952.12
MERCEDES,ML CLASS,Turbocharger,950.27
