make,model,part,total_paid
MITSUBISHI,L200,Dpf Filter,2970.22
MITSUBISHI,L200,Cylinder Head Gasket,2054.22
MITSUBISHI,L200,Gearbox (Various Faults),1874.00
MITSUBISHI,L200,Catalyst (Exhaust),1602.40
MITSUBISHI,LANCER RALLIART,Suspension (Various Faults),1466.80
MITSUBISHI,OUTLANDER,Air Con (Various Faults),993.61
MITSUBISHI,L200,Turbocharger,944.00
MITSUBISHI,OUTLANDER,Electrical ,929.95
MITSUBISHI,L200,Gearbox (Various Faults),904.04
MITSUBISHI,LANCER RALLIART,Oil Cooler-,886.42
MITSUBISHI,L200,Engine (Various Faults),790.00
MITSUBISHI,L200,Sensors,734.48
MITSUBISHI,MIRAGE,Clutch (Various Faults),697.83
MITSUBISHI,L200,Fuel System,607.28
MITSUBISHI,OUTLANDER,Turbocharger,600.00
MITSUBISHI,L200,Spring (Suspension),590.75
MITSUBISHI,OUTLANDER,Oil Leaks,588.23
MITSUBISHI,OUTLANDER,Brakes (Various Faults),578.83
MITSUBISHI,L200,E.G.R Valve,530.20
MITSUBISHI,SHOGUN,Engine (Various Faults),500.00
MITSUBISHI,L200,Engine (Various Faults),477.62
MITSUBISHI,OUTLANDER,Turbocharger,460.58
MITSUBISHI,L200,Air Con (Various Faults),431.90
MITSUBISHI,OUTLANDER,Electrical ,404.40
MITSUBISHI,L200,Water Pump,403.43
MITSUBISHI,OUTLANDER,Air Con (Various Faults),384.08
MITSUBISHI,OUTLANDER,Water Pump,374.84
MITSUBISHI,LANCER RALLIART,Air Flow Meter,350.70
MITSUBISHI,L200,E.G.R Valve,284.50
MITSUBISHI,L200,Electrical ,253.20
MITSUBISHI,L200,Cooling,240.40
MITSUBISHI,OUTLANDER,Engine (Various Faults),234.86
MITSUBISHI,L200 PICKUP,,230.86
MITSUBISHI,OUTLANDER,Brakes,228.54
MITSUBISHI,L200,Clutch (Various Faults),227.59
MITSUBISHI,COLT,Starter Motor,224.26
MITSUBISHI,L200,Multimedia,219.00
MITSUBISHI,COLT,Starter Motor,211.33
MITSUBISHI,L200,Starter Motor,174.69
MITSUBISHI,SHOGUN,Brakes (Various Faults),171.30
MITSUBISHI,L200,Water Pump,169.74
MITSUBISHI,OUTLANDER,Brakes (Various Faults),160.16
MITSUBISHI,OUTLANDER,,157.40
MITSUBISHI,L200,Universal Joint,157.39
MITSUBISHI,OUTLANDER,Electrical ,116.74
MITSUBISHI,SHOGUN,Abs (Various Faults),98.24
MITSUBISHI,L200 PICKUP,,85.68
MITSUBISHI,L200,Engine (Various Faults),84.00
MITSUBISHI,OUTLANDER,Electrical ,84.00
MITSUBISHI,L200,Engine (Various Faults),84.00
MITSUBISHI,COLT,Spring (Suspension),81.60
