make,model,part,total_paid
NISSAN,GTR,Gearbox,11100.00
NISSAN,GTR,Gearbox (various faults),9500.00
NISSAN,NAVARA,Camshaft Belt,7889.30
NISSAN,X-TRAIL,Gearbox (Various Faults),7817.82
NISSAN,JUKE,Gearbox (Various Faults),7713.10
NISSAN,X-TRAIL,Engine (Various Faults),7509.67
NISSAN,QASHQAI,Engine (Various Faults),7493.70
NISSAN,JUKE,Gearbox (Various Faults),7256.63
NISSAN,NAVARA,Engine (Various Faults),7240.25
NISSAN,JUKE,Gearbox (Various Faults),7120.02
NISSAN,JUKE,Gearbox (Various Faults),6983.23
NISSAN,GTR ,Gearbox (Various Faults),6770.52
NISSAN,GTR ,Gearbox (various faults),6187.38
NISSAN,X-TRAIL,Multimedia,4863.08
NISSAN,NAVARA PICKUP,Engine (Various Faults),4779.10
NISSAN,NAVARA PICKUP,Engine (Various Faults),4722.58
NISSAN,JUKE,Gearbox (Various Faults),4386.22
NISSAN,QASHQAI,Gearbox (Various Faults),3474.88
NISSAN,JUKE,Gearbox (Various Faults),3000.00
NISSAN,JUKE,Gearbox (Various Faults),2904.00
NISSAN,GTR,Gearbox (Various Faults),2715.22
NISSAN,QASHQAI,Gearbox (Various Faults),2637.80
NISSAN,NAVARA PICKUP,Turbocharger,2584.00
NISSAN,JUKE,Gearbox (Various Faults),2193.49
NISSAN,JUKE,,2159.40
NISSAN,QASHQAI,Engine (Various Faults),2000.00
NISSAN,QASHQAI,Gearbox (Various Faults),2000.00
NISSAN,QASHQAI,Gearbox (Various Faults),1893.38
NISSAN,PRIMASTAR,Gearbox (Various Faults),1754.50
NISSAN,NAVARA PICKUP,Gearbox (Various Faults),1698.17
NISSAN,JUKE,Gearbox (Various Faults),1663.19
NISSAN,QASHQAI,Air Con (Various Faults),1501.60
NISSAN,JUKE,Gearbox (Various Faults),1500.00
NISSAN,QASHQAI,Gearbox (Various Faults),1464.00
NISSAN,X-TRAIL,Air Flow Meter,1249.58
NISSAN,PULSAR,Engine (Various Faults),1246.81
NISSAN,JUKE,Gearbox (Various Faults),1215.00
NISSAN,QASHQAI,Cylinder Head Gasket,1200.00
NISSAN,X-TRAIL,Gearbox (Various Faults),1134.74
NISSAN,QASHQAI,Multimedia,1090.26
NISSAN,QASHQAI,Gearbox (Various Faults),1084.00
NISSAN,NV200,Turbocharger,1073.41
NISSAN,X-TRAIL,Gearbox (Various Faults),1000.00
NISSAN,QASHQAI,Gearbox (Various Faults),1000.00
NISSAN,NOTE,Air Con (Various Faults),944.00
NISSAN,NAVARA PICKUP,Drive Shaft,931.54
NISSAN,QASHQAI,Clutch (Various Faults),876.93
NISSAN,NAVARA PICKUP,Wheel Bearing,867.50
NISSAN,X-TRAIL,Turbocharger,855.04
NISSAN,QASHQAI,Cylinder Head Gasket,847.94
NISSAN,NAVARA PICKUP,E.G.R Valve,832.13
NISSAN,X-TRAIL,Turbocharger,831.00
NISSAN,QASHQAI,Air Con (Various Faults),790.76
NISSAN,JUKE,Gearbox (Various Faults),766.14
NISSAN,X-TRAIL,Fuel System,757.24
NISSAN,JUKE,Turbocharger,752.50
NISSAN,NAVARA PICKUP,Turbocharger,749.02
NISSAN,QASHQAI,Turbocharger,734.00
NISSAN,NAVARA PICKUP,Central Door Locking,723.50
NISSAN,GTR,Cv Joint,709.62
NISSAN,X-TRAIL,Fuel System,693.24
NISSAN,QASHQAI,Air Con (Various Faults),668.39
NISSAN,X-TRAIL,Fflywheel ,659.27
NISSAN,QASHQAI,Air Con (Various Faults),654.00
NISSAN,NAVARA PICKUP,Belts/ Aux Belts,648.60
NISSAN,QASHQAI,Electrical ,648.54
NISSAN,NOTE,Gearbox (Various Faults),648.50
NISSAN,QASHQAI,Turbocharger,624.60
NISSAN,NOTE,Engine (Various Faults),614.41
NISSAN,JUKE,Air Con (Various Faults),602.40
NISSAN,PATHFINDER,Gearbox (Various Faults),600.00
NISSAN,QASHQAI,Dpf Filter,600.00
NISSAN,QASHQAI,Engine (Various Faults),598.48
NISSAN,JUKE,Fuel Injectors,592.97
NISSAN,JUKE,Flywheel ,591.47
NISSAN,X-TRAIL,Fuel System,590.00
NISSAN,QASHQAI,Alternator,586.37
NISSAN,QASHQAI,Air Con (Various Faults),584.00
NISSAN,JUKE,Gearbox (Various Faults),584.00
NISSAN,MICRA,Gearbox (Various Faults),584.00
NISSAN,X-TRAIL,BRAKES,562.67
NISSAN,NAVARA PICKUP,E.G.R Valve,554.99
NISSAN,QASHQAI,,545.29
NISSAN,NOTE,Engine (Various Faults),540.47
NISSAN,QASHQAI,Turbocharger,538.20
NISSAN,NAVARA PICKUP,Air Con (Various Faults),525.32
NISSAN,NV200,E.G.R Valve,523.01
NISSAN,JUKE,Steering Rack,519.00
NISSAN,JUKE,Ecu (Other),514.15
NISSAN,QASHQAI,Turbocharger,500.00
NISSAN,QASHQAI,Clutch (Various Faults),500.00
