make,model,part,total_paid
PEUGEOT,207CC,Engine (Various Faults),8150.41
PEUGEOT,207,Engine (Various Faults),7599.14
PEUGEOT,207,Engine (Various Faults),7468.66
PEUGEOT,308,Engine (Various Faults),7219.16
PEUGEOT,RCZ,Engine (Various Faults),6593.51
PEUGEOT,RCZ,Engine (Various Faults),6277.43
PEUGEOT,308,Engine (Various Faults),5922.30
PEUGEOT,207,Gearbox (Various Faults),5793.58
PEUGEOT,207,Engine (Various Faults),5738.45
PEUGEOT,RCZ,Cylinder Head Gasket,5607.78
PEUGEOT,208,Catalyst (Exhaust),1905.46
PEUGEOT,508,Gearbox (Various Faults),1590.99
PEUGEOT,5008,Gearbox (Various Faults),1464.32
PEUGEOT,308,Gearbox (Various Faults),1452.44
PEUGEOT,5008,Fuel Injectors,1412.13
PEUGEOT,208,Alternator,1216.67
PEUGEOT,RCZ,Engine (Various Faults),1196.53
PEUGEOT,508,Fuel Injectors,1130.00
PEUGEOT,308,Ad Blue System (Emissions),1091.17
PEUGEOT,107,Clutch (Various Faults),1082.24
PEUGEOT,3008,Gearbox (Various Faults),1044.98
PEUGEOT,308,Clutch (Various Faults),1023.07
PEUGEOT,208,Gearbox (Various Faults),977.18
PEUGEOT,208,Fuel Injection Pump,923.50
PEUGEOT,3008,Flywheel ,921.98
PEUGEOT,3008,Alternator,898.00
PEUGEOT,308,Alternator,897.00
PEUGEOT,5008,Air Con (Various Faults),884.00
PEUGEOT,207,Engine (Various Faults),865.88
PEUGEOT,108,Air Con (Various Faults),863.57
PEUGEOT,207,Cylinder Head Gasket,819.50
PEUGEOT,ION,Sensors,796.17
PEUGEOT,207,Gearbox (Various Faults),786.00
PEUGEOT,208,Cylinder Head Gasket,774.25
PEUGEOT,207,Engine (Various Faults),756.13
PEUGEOT,RCZ,Fuel Lift Pump,739.39
PEUGEOT,PARTNER,Alternator,705.71
PEUGEOT,2008,Catalyst (Exhaust),691.88
PEUGEOT,4007,Oil Leaks,682.59
PEUGEOT,308,Clutch (Various Faults),669.98
PEUGEOT,208,Gearbox (Various Faults),655.60
PEUGEOT,207,Steering Rack,648.00
PEUGEOT,208,Turbocharger,642.64
PEUGEOT,207,Steering Rack,639.41
PEUGEOT,3008,Clutch (Various Faults),634.00
PEUGEOT,208,Clutch (Various Faults),622.20
PEUGEOT,307,Cylinder Head Gasket,605.24
PEUGEOT,308,Turbocharger,600.00
PEUGEOT,BOXER,Electrical ,597.47
PEUGEOT,3008,Fuel Injectors,591.70
PEUGEOT,3008,Fuel Injectors,584.95
PEUGEOT,207,Gearbox (Various Faults),584.00
PEUGEOT,207,Cylinder Head Gasket,581.90
PEUGEOT,RCZ,Fuel System,575.77
PEUGEOT,108,Clutch (Various Faults),566.35
PEUGEOT,RCZ,Fuel System,562.49
PEUGEOT,308,Engine (Various Faults),550.31
PEUGEOT,208,Electrical ,548.89
PEUGEOT,3008,Throttle Body,548.84
PEUGEOT,308,Fuel System,537.73
PEUGEOT,5008,Air Flow Meter,536.48
PEUGEOT,208,Catalyst (Exhaust),531.87
PEUGEOT,3008,Fuel Injectors,514.87
PEUGEOT,BOXER,Ecu (Other),511.10
PEUGEOT,307,Fuel System,504.77
PEUGEOT,407,Electrical,500.00
PEUGEOT,3008,Gearbox (Various Faults),500.00
PEUGEOT,207,Cylinder Head Gasket,497.49
PEUGEOT,EXPERT,Air Con (Various Faults),497.42
PEUGEOT,308,Heater Fan Motor,493.28
PEUGEOT,207,Fuel Injectors,491.80
PEUGEOT,3008,Mirror Assembly,488.00
PEUGEOT,207,Cylinder Head Gasket,476.03
PEUGEOT,307,E.G.R Valve,472.98
PEUGEOT,5008,Fuel System,462.98
PEUGEOT,208,Ignition Coil,457.11
PEUGEOT,207,Steering Pump,453.68
PEUGEOT,3008,Fuel Injectors,452.79
PEUGEOT,208,Catalyst (Exhaust),451.10
PEUGEOT,308,Clutch (Various Faults),450.00
PEUGEOT,207,Abs (Various Faults),444.00
PEUGEOT,208,Catalyst (Exhaust),440.93
PEUGEOT,RCZ,Fuel System,435.74
PEUGEOT,2008,Shock Absorber,432.56
PEUGEOT,207,Engine (Various Faults),431.20
PEUGEOT,207,Cylinder Head Gasket,429.20
PEUGEOT,108,Clutch (Various Faults),427.82
PEUGEOT,308,,424.13
PEUGEOT,2008,Electrical,421.00
