make,model,part,total_paid
RENAULT,LAGUNA,Oil Leaks,9162.42
RENAULT,TRAFIC,Engine (Various Faults),7418.63
RENAULT,MASTER VAN,Engine (Various Faults),7308.00
RENAULT,GRAND SCENIC,Gearbox (Various Faults),7138.64
RENAULT,GRAND ESPACE,Engine (Various Faults),7006.42
RENAULT,ZOE,Electrical,5042.95
RENAULT,MEGANE F1,Engine (Various Faults),4944.00
RENAULT,TRAFIC,Camshaft Belt,4922.75
RENAULT,LAGUNA,Engine (Various Faults),4833.60
RENAULT,SCENIC,Engine,4711.06
RENAULT,KOLEOS,Gearbox (Various Faults),3027.10
RENAULT,TRAFIC VAN,Gearbox (Various Faults),2147.50
RENAULT,GRAND SCENIC,Ecu (Other),1586.89
RENAULT,GRAND SCENIC,Turbocharger,1389.73
RENAULT,MEGANE,Abs (Various Faults),1318.67
RENAULT,CLIO RENAULT SPORT,Gearbox (Various Faults),1242.00
RENAULT,MEGANE,Abs Accumulator,1169.41
RENAULT,CLIO,Gearbox (Various Faults),1133.80
RENAULT,CLIO,Gearbox (Various Faults),1124.79
RENAULT,MEGANE,Ecu (Other),1071.00
RENAULT,CLIO,Engine (Various Faults),1046.10
RENAULT,MEGANE,Ecu (Other),969.58
RENAULT,MEGANE,Alternator,899.89
RENAULT,TRAFIC VAN,Turbocharger,887.50
RENAULT,TRAFIC VAN,Gearbox (Various Faults),881.50
RENAULT,KADJAR,,874.80
RENAULT,GRAND ESPACE,Engine (Various Faults),834.00
RENAULT,MEGANE RENAULT SPORT,Sensors,788.46
RENAULT,KANGOO,Gearbox (Various Faults),767.76
RENAULT,TWINGO,Engine (Various Faults),757.27
RENAULT,CLIO,Instrument Cluster / Clocks,731.20
RENAULT,TRAFIC VAN,Clutch (Various Faults),711.24
RENAULT,ZOE,Electrical ,707.71
RENAULT,MEGANE,Fuel Injection Pump,702.36
RENAULT,CLIO,Clutch (Various Faults),686.57
RENAULT,KADJAR,Electrical ,682.30
RENAULT,GRAND SCENIC,Alternator,667.47
RENAULT,SCENIC,Clutch (Various Faults),647.82
RENAULT,CLIO RENAULT SPORT,Spring (Suspension),635.00
RENAULT,MEGANE,Clutch (Various Faults),615.98
RENAULT,CLIO RENAULT SPORT,Gearbox (Various Faults),595.00
RENAULT,GRAND SCENIC,Brakes (Various Faults),590.06
RENAULT,GRAND SCENIC,Multimedia,585.08
RENAULT,KANGOO,Gearbox (Various Faults),579.00
RENAULT,TRAFIC VAN,Gearbox (Various Faults),572.70
RENAULT,ZOE,Heater Fan Motor,567.17
RENAULT,CLIO,Gearbox (Various Faults),559.52
RENAULT,SCENIC,Alternator,543.80
RENAULT,MEGANE RENAULT SPORT,Electrical ,536.00
RENAULT,GRAND SCENIC,Oil Leaks,532.32
RENAULT,GRAND SCENIC,Alternator,528.52
RENAULT,KANGOO,Electrical ,519.60
RENAULT,ZOE,Wiper Motor,517.87
RENAULT,CLIO,Engine (Various Faults),514.32
RENAULT,KANGOO,Fuel Injection Pump,502.44
RENAULT,GRAND ESPACE,E.G.R Valve,500.00
RENAULT,MEGANE,Steering Pump,490.00
RENAULT,MEGANE,Alternator,483.80
RENAULT,CLIO,Clutch (Various Faults),477.05
RENAULT,CLIO,Suspension (Various Faults),474.96
RENAULT,GRAND SCENIC,Fuel Injectors,468.00
RENAULT,MASTER VAN,Fuel Lift Pump,467.11
RENAULT,CLIO,Wiper Motor,459.11
RENAULT,CLIO,Air Con (Various Faults),440.80
RENAULT,SCENIC,Alternator,433.09
RENAULT,GRAND SCENIC,Spring (Suspension),420.62
