make,model,part,total_paid
SMART,FORTWO,,756.06
SMART,FORTWO,Air Con (Various Faults),613.44
SMART,FORTWO,Gearbox (Various Faults),588.49
SMART,FORFOUR,,568.90
SMART,FORTWO,Clutch (Various Faults),502.12
SMART,FORTWO,Alternator,495.60
SMART,FORTWO,Oxygen (Lambda) Sensor,356.40
SMART,FORTWO,Central Door Locking,323.25
SMART,FORTWO,Air Con (Various Faults),310.00
SMART,PASSION,Alternator,287.00
SMART,PASSION,Starter Motor,262.54
SMART,FORFOUR,Electrical ,260.32
SMART,FORTWO,Engine (Various Faults),232.80
SMART,FORTWO,,221.93
SMART,FORTWO,Ignition Coil,183.60
SMART,FORFOUR,Fuel System,152.00
SMART,FORTWO,Oxygen (Lambda) Sensor,144.33
SMART,PULSE,Water Pump,103.34
SMART,PASSION,Spring (Suspension),96.88
SMART,PASSION,Alternator,81.86
SMART,PASSION,Brakes,77.72
SMART,PULSE,Electrical ,68.00
