make,model,part,total_paid
SUBARU,IMPREZA WRX,Engine (Various Faults),2584.00
SUBARU,IMPREZA WRX,Clutch (Various Faults),2250.00
SUBARU,FORESTER,Gearbox (Various Faults),1327.39
SUBARU,IMPREZA WRX,Engine (Various Faults),1175.06
SUBARU,IMPREZA WRX,Turbocharger,792.83
SUBARU,LEGACY,Fuel System,646.69
SUBARU,IMPREZA,Clutch (Various Faults),505.00
SUBARU,IMPREZA WRX,Engine Oil Pump,500.00
SUBARU,IMPREZA WRX,Steering Pump,450.00
SUBARU,FORESTER,Air Con (Various Faults),364.00
SUBARU,FORESTER,Dpf Filter,324.29
SUBARU,OUTBACK,Dpf Filter,288.00
SUBARU,IMPREZA WRX,Belts/ Aux Belts,244.86
SUBARU,IMPREZA WRX,Engine (Various Faults),168.00
SUBARU,FORESTER,Air Con (Various Faults),143.14
SUBARU,IMPREZA WRX,Cylinder Head Gasket,84.00
SUBARU,LEGACY,Turbocharger,84.00
SUBARU,FORESTER,Heater/Glow Plugs,61.65
