make,model,part,total_paid
SUZUKI,SWIFT,Gearbox (Various Faults),921.50
SUZUKI,SX4,Prop Shaft (Centre Bearing),918.30
SUZUKI,SWIFT,Clutch (Various Faults),767.51
SUZUKI,SWIFT,Air Con (Various Faults),762.59
SUZUKI,SWIFT,Clutch (Various Faults),688.20
SUZUKI,IGNIS,Gearbox (Various Faults),686.50
SUZUKI,SWIFT,Steering Rack,658.80
SUZUKI,SWIFT,Clutch (Various Faults),608.99
SUZUKI,JIMNY,Air Con (Various Faults),500.00
SUZUKI,GRAND VITARA,Engine (Various Faults),500.00
SUZUKI,JIMNY,Differential,452.08
SUZUKI,SWIFT,Brakes (Various Faults),448.95
SUZUKI,GRAND VITARA,Radiator,437.95
SUZUKI,ALTO,Gearbox (Various Faults),350.00
SUZUKI,GRAND VITARA,Air Con (Various Faults),310.00
SUZUKI,CELERIO,Engine (Various Faults),289.44
SUZUKI,SWIFT,Cable (Brake),258.60
SUZUKI,SWIFT,Starter Motor,250.39
SUZUKI,SWIFT,Clutch (Various Faults),250.00
SUZUKI,JIMNY,Gearbox (Various Faults),250.00
SUZUKI,SWIFT,Water Pump,249.70
SUZUKI,GRAND VITARA,Water Pump,233.72
SUZUKI,VITARA,Oil Leaks,227.87
SUZUKI,SX4,Brakes (Various Faults),218.40
SUZUKI,GRAND VITARA,Clutch (Various Faults),217.08
SUZUKI,ALTO,Clutch (Various Faults),214.01
SUZUKI,SWIFT,Clutch (Various Faults),204.43
SUZUKI,SWIFT,Clutch (Various Faults),195.84
SUZUKI,SWIFT,Starter Motor,177.13
SUZUKI,SX4,Wheel Bearing,175.75
SUZUKI,SWIFT,Spring (Suspension),173.07
SUZUKI,VITARA,Engine (Various Faults),168.00
SUZUKI,GRAND VITARA,Radiator,161.28
SUZUKI,SWIFT,Alternator,145.50
SUZUKI,SPLASH,Suspension (Various Faults),145.33
SUZUKI,JIMNY,Spring (Suspension),136.25
SUZUKI,SWIFT,Starter Motor,131.56
SUZUKI,SWIFT,Alternator,127.63
SUZUKI,SX4,Suspension (Various Faults),125.62
SUZUKI,SX4,Ignition Coil,123.32
SUZUKI,SWIFT,Spring (Suspension),110.97
SUZUKI,SWIFT,Electrical ,105.86
SUZUKI,SWIFT,Clutch (Various Faults),100.00
SUZUKI,SWIFT,Wheel Bearing,97.26
SUZUKI,SWIFT,Wheel Bearing,88.80
SUZUKI,SWIFT,Engine (Various Faults),84.00
SUZUKI,SWIFT,Gearbox (Various Faults),84.00
SUZUKI,VITARA,Multimedia,83.45
SUZUKI,ALTO,Cv Joint,77.00
SUZUKI,ALTO,Oil Leaks,70.06
SUZUKI,SX4,Electrical ,69.50
