make,model,part,total_paid
SAAB,9-3,Fuel System,915.60
SAAB,9-3,Ecu (Other),593.03
SAAB,9-3,Flywheel,527.80
SAAB,9-3,Turbocharger,400.00
SAAB,9-3,Window Regulator,294.16
SAAB,9-3,Starter Motor,243.31
SAAB,9-5,Water Pump,235.43
SAAB,9-5,Ignition Coil,229.74
SAAB,9-3,Central Door Locking,227.88
SAAB,9-3,Intercooler,216.37
SAAB,9-3,E.G.R Valve,188.21
SAAB,9-3,Alternator,184.16
SAAB,9-3,Dpf Filter,120.00
SAAB,9-3,Inlet Manifold,100.00
SAAB,9-3,Spring (Suspension),47.39
SAAB,9-5,Suspension (Various Faults),34.28
