make,model,part,total_paid
SEAT,LEON,Gearbox (Various Faults),3956.36
SEAT,LEON,Mechatronic Unit,2050.96
SEAT,LEON,Engine (Various Faults),1800.32
SEAT,ALTEA,Gearbox (Various Faults),1761.51
SEAT,IBIZA,Gearbox (Various Faults),1326.00
SEAT,ALTEA,Gearbox (Various Faults),1084.00
SEAT,LEON,Air Bag System,1018.51
SEAT,LEON,Engine (Various Faults),993.45
SEAT,IBIZA,Gearbox (Various Faults),938.00
SEAT,LEON,Gearbox (Various Faults),904.76
SEAT,LEON,Multimedia,868.98
SEAT,EXEO,Steering Pump,814.34
SEAT,EXEO,STEERING PUMP,814.34
SEAT,IBIZA,Camshaft Belt,652.94
SEAT,ALTEA,,638.58
SEAT,IBIZA,E.G.R Valve,633.52
SEAT,LEON,Air Con (Various Faults),624.68
SEAT,IBIZA,Starter Motor,613.98
SEAT,ALTEA,E.G.R Cooler,612.47
SEAT,LEON,Fuel System,603.00
SEAT,IBIZA CUPRA,Engine (Various Faults),586.53
SEAT,IBIZA CUPRA,Engine (Various Faults),584.00
SEAT,IBIZA,E.G.R Valve,550.00
SEAT,LEON CUPRA R,Brakes (Various Faults),549.57
SEAT,IBIZA,Water Pump,545.23
SEAT,ALHAMBRA,Fuel System,539.12
SEAT,ALTEA,Fuel Injectors,529.95
SEAT,ALHAMBRA,Starter Motor,523.90
SEAT,IBIZA CUPRA,Steering Pump,520.49
SEAT,IBIZA,Dpf Filter,515.40
SEAT,LEON CUPRA R,Door Handle (Electronic),512.29
SEAT,IBIZA,E.G.R Valve,511.09
SEAT,ALHAMBRA,Electrical ,500.00
SEAT,LEON,Air Con (Various Faults),499.67
SEAT,ALTEA,Fuel System,495.80
SEAT,ALHAMBRA,Alternator,488.48
SEAT,LEON,Flywheel ,484.00
SEAT,LEON CUPRA R,Engine (Various Faults),484.00
SEAT,IBIZA,Air Con (Various Faults),480.04
SEAT,IBIZA,Steering Pump,474.00
SEAT,IBIZA CUPRA,Steering Pump,471.93
SEAT,ALTEA,Steering Rack,470.14
SEAT,EXEO,Steering Rack,469.50
