make,model,part,total_paid
SKODA,SUPERB,Engine (Various Faults),9271.28
SKODA,OCTAVIA,Engine (Various Faults),8118.85
SKODA,YETI 4X4,Gearbox (Various Faults),6162.78
SKODA,FABIA ,Engine (Various Faults),5891.23
SKODA,OCTAVIA,Ecu (Other),5337.20
SKODA,OCTAVIA,Engine (Various Faults),5336.22
SKODA,FABIA,Engine (Various Faults),5301.22
SKODA,OCTAVIA,Engine (Various Faults),5052.61
SKODA,OCTAVIA,Gearbox (Various Faults),4870.21
SKODA,SUPERB,Gearbox (Various Faults),4763.38
SKODA,FABIA,Engine (Various Faults),4477.50
SKODA,FABIA,Gearbox (Various Faults),1640.80
SKODA,OCTAVIA,Engine (Various Faults),1584.00
SKODA,SUPERB,Engine (Various Faults),1500.00
SKODA,OCTAVIA,Engine (Various Faults),1500.00
SKODA,FABIA VRS,Engine (Various Faults),1392.46
SKODA,RAPID,Clutch (Various Faults),1135.75
SKODA,SUPERB,Gearbox (Various Faults),1103.88
SKODA,YETI 4X4,Engine (Various Faults),1084.00
SKODA,FABIA,Turbocharger,1052.32
SKODA,FABIA,Engine (Various Faults),1000.00
SKODA,OCTAVIA,Air Con (Various Faults),999.98
SKODA,YETI,E.G.R Valve,979.04
SKODA,OCTAVIA,Clutch (Various Faults),861.80
SKODA,OCTAVIA VRS,Gearbox (Various Faults),860.13
SKODA,FABIA,Gearbox (Various Faults),836.20
SKODA,FABIA,Gearbox (Various Faults),792.14
SKODA,OCTAVIA,Multimedia,779.68
SKODA,OCTAVIA,Instrument Cluster / Clocks,705.91
SKODA,YETI,Engine (Various Faults),684.00
SKODA,FABIA,Turbocharger,681.50
SKODA,OCTAVIA,E.G.R Valve,674.90
SKODA,SUPERB,Clutch (Various Faults),634.26
SKODA,OCTAVIA,Fuel System,632.60
SKODA,FABIA,E.G.R Valve,629.99
SKODA,OCTAVIA,Engine (Various Faults),584.00
SKODA,FABIA,E.G.R Valve,583.78
SKODA,OCTAVIA,E.G.R Valve,558.51
SKODA,FABIA,E.G.R Valve,538.34
SKODA,OCTAVIA VRS,Central Door Locking,537.61
SKODA,YETI,Fuel Injectors,532.60
SKODA,FABIA,Fuel Injectors,528.76
SKODA,FABIA,Fuel Injectors,519.38
