make,model,part,total_paid
TESLA,MODEL S,Suspension (Various Faults),4401.90
TESLA,MODEL S,Suspension (Various Faults),3419.70
TESLA,MODEL S,Electrical,3395.40
TESLA,MODEL S,Trims (Interior And Exterior),3363.20
TESLA,MODEL S,Air Bag System,3167.82
TESLA,MODEL S,Electrical,2899.40
TESLA,MODEL S,Electrical ,2899.40
TESLA,MODEL S,Suspension (Various Faults),2669.10
TESLA,MODEL S,Electrical,2461.80
TESLA,MODEL X,Charging Unit (Ev),2325.40
TESLA,MODEL S,Suspension (Various Faults),1998.00
TESLA,MODEL S,Drive Shaft,1763.80
TESLA,MODEL S,Electrical ,1451.60
TESLA,MODEL S,Suspension (Various Faults),1413.60
TESLA,MODEL S,Suspension (Various Faults),1032.50
TESLA,MODEL S,Suspension (Various Faults),750.60
TESLA,MODEL S,Electrical,700.00
TESLA,MODEL S,Electrical,687.80
TESLA,MODEL S,Electrical ,489.07
TESLA,MODEL S,Roof (Motors / Electrics),441.99
TESLA,MODEL X,Sensors,248.20
TESLA,MODEL S,Electrical,229.00
TESLA,MODEL S,Recovery,210.00
TESLA,MODEL S,Electrical,198.00
TESLA,MODEL S,Electrical,193.60
TESLA,MODEL S,Central Door Locking,179.40
TESLA,MODEL S,,164.96
TESLA,MODEL S,Central Door Locking,136.30
TESLA,MODEL S,Suspension (Various Faults),84.00
