make,model,part,total_paid
TOYOTA,AURIS,Engine,7235.90
TOYOTA,LANDCRUISER ,Engine (Various Faults),6461.16
TOYOTA,RAV4,Engine (Various Faults),5876.45
TOYOTA,RAV4,Engine (Various Faults),4746.48
TOYOTA,AVENSIS,Gearbox (Various Faults),4600.06
TOYOTA,PRIUS,Gearbox (Various Faults),4092.02
TOYOTA,VERSO,Gearbox (Various Faults),4007.21
TOYOTA,RAV4,Dpf Filter,3654.00
TOYOTA,VERSO,Engine (Various Faults),3642.86
TOYOTA,HILUX,Dpf Filter,3551.71
TOYOTA,YARIS,Gearbox (Various Faults),3000.00
TOYOTA,VERSO,Gearbox (Various Faults),1692.80
TOYOTA,RAV4,Ecu (Other),1332.02
TOYOTA,YARIS,Throttle Body,1256.35
TOYOTA,AVENSIS,Fuel Injectors,1231.20
TOYOTA,LANDCRUISER,Electrical ,906.85
TOYOTA,COROLLA,Engine (Various Faults),849.59
TOYOTA,HILUX,Electrical ,824.76
TOYOTA,RAV4,Dpf Filter,812.40
TOYOTA,AURIS,Cylinder Head Gasket,789.86
TOYOTA,IQ,,748.14
TOYOTA,HILUX,Fuel Injectors,710.04
TOYOTA,YARIS,Clutch (Various Faults),600.00
TOYOTA,HILUX,Dpf Filter,598.96
TOYOTA,AYGO,Gearbox (Various Faults),580.00
TOYOTA,AVENSIS,Fuel Injectors,536.40
TOYOTA,IQ,,520.95
TOYOTA,AVENSIS,Sensors,500.00
TOYOTA,AVENSIS,Brakes (Various Faults),500.00
TOYOTA,HILUX,Steering Rack,464.64
TOYOTA,YARIS,Window Motor,438.00
TOYOTA,AYGO,Clutch (Various Faults),437.14
TOYOTA,RAV4,Fuel System,430.00
TOYOTA,YARIS,Alternator,419.99
TOYOTA,IQ,Sensors,418.89
TOYOTA,AURIS,Alternator,408.70
TOYOTA,AYGO,Clutch (Various Faults),402.59
TOYOTA,AURIS,Gearbox (Various Faults),400.00
TOYOTA,YARIS,Engine (Various Faults),400.00
TOYOTA,YARIS,Air Con (Various Faults),388.27
TOYOTA,AURIS,Central Door Locking,371.69
TOYOTA,YARIS,Alternator,371.59
TOYOTA,AURIS,Engine (Various Faults),350.00
TOYOTA,VERSO,Ignition Coil,350.00
TOYOTA,AVENSIS,Fuel System,350.00
TOYOTA,AURIS,Steering Column,345.80
TOYOTA,HILUX,Spring (Suspension),334.20
TOYOTA,LANDCRUISER,Shock Absorber,328.22
TOYOTA,YARIS,Air Con (Various Faults),317.74
TOYOTA,AURIS,Steering Rack,313.00
TOYOTA,YARIS,Clutch (Various Faults),300.00
TOYOTA,YARIS,Clutch (Various Faults),300.00
TOYOTA,COROLLA,Air Con (Various Faults),300.00
TOYOTA,YARIS,Air Con (Various Faults),293.66
TOYOTA,VERSO,Starter Motor,280.91
TOYOTA,YARIS,Brakes (Various Faults),279.28
TOYOTA,AYGO,Starter Motor,276.81
TOYOTA,YARIS,Air Flow Meter,276.80
TOYOTA,AYGO,Clutch (Various Faults),269.14
TOYOTA,AYGO,Alternator,265.00
TOYOTA,AVENSIS,Engine (Various Faults),264.09
TOYOTA,YARIS,Alternator,260.00
TOYOTA,YARIS,,251.90
TOYOTA,YARIS,Clutch (Various Faults),250.00
TOYOTA,RAV4,E.G.R Valve,249.80
TOYOTA,AURIS,Starter Motor,233.99
TOYOTA,AYGO,Alternator,230.00
TOYOTA,AVENSIS,Alternator,229.79
TOYOTA,COROLLA,Alternator,225.94
TOYOTA,AYGO,Starter Motor,221.00
TOYOTA,AYGO,Alternator,218.35
TOYOTA,YARIS,,206.15
TOYOTA,AVENSIS,Engine (Various Faults),200.00
TOYOTA,COROLLA,Drive Shaft,200.00
TOYOTA,AURIS,Fuel System,200.00
TOYOTA,AYGO,Alternator,188.84
TOYOTA,RAV4,Brakes (Various Faults),176.00
TOYOTA,YARIS,Brake Caliper/Discs,175.00
TOYOTA,RAV4,Fuel System,160.80
TOYOTA,HILUX,Instrument Cluster / Clocks,160.00
TOYOTA,AYGO,Electrical ,159.56
TOYOTA,AYGO,Ignition Coil,154.33
TOYOTA,AURIS,Suspension (Various Faults),150.00
TOYOTA,RAV4,Hose/Pipe ,150.00
TOYOTA,AYGO,Water Pump,146.10
TOYOTA,AYGO,Window Motor,135.38
TOYOTA,AYGO,Electrical ,129.89
TOYOTA,YARIS,Spring (Suspension),127.55
TOYOTA,YARIS,Suspension (Various Faults),126.50
TOYOTA,AURIS,Water Pump,126.18
TOYOTA,AYGO,Brakes (Various Faults),125.00
TOYOTA,YARIS,Brake Caliper/Discs,121.84
TOYOTA,AYGO,Radiator,110.00
TOYOTA,AYGO,Starter Motor,102.00
TOYOTA,AYGO,Exhausts(Pipes And Silencers),100.00
TOYOTA,AYGO,,85.68
TOYOTA,ESTIMA,,85.68
TOYOTA,YARIS,,85.68
TOYOTA,PRIUS,,85.68
TOYOTA,AYGO,,85.68
TOYOTA,YARIS,,85.68
TOYOTA,YARIS,Engine (Various Faults),84.00
TOYOTA,AURIS,Engine (Various Faults),84.00
TOYOTA,AYGO,Ignition Coil,62.00
TOYOTA,YARIS,Gearbox (Various Faults),50.00
