make,model,part,total_paid
VOLKSWAGEN,CARAVELLE ,Engine (Various Faults),8315.78
VOLKSWAGEN,CARAVELLE,Engine (Various Faults),8145.96
VOLKSWAGEN,GOLF,Engine (Various Faults),8138.92
VOLKSWAGEN,GOLF R,Engine (Various Faults),7774.43
VOLKSWAGEN,SCIROCCO,Engine (Various Faults),7719.54
VOLKSWAGEN,GOLF,Engine (Various Faults),7538.80
VOLKSWAGEN,GOLF,Engine (Various Faults),7324.24
VOLKSWAGEN,TIGUAN,Gearbox (Various Faults),7308.01
VOLKSWAGEN,CRAFTER,Engine (Various Faults),7269.47
VOLKSWAGEN,CADDY,Engine (Various Faults),7059.44
VOLKSWAGEN,TIGUAN,Gearbox (Various Faults),5673.75
VOLKSWAGEN,CADDY,Gearbox (Various Faults),4091.92
VOLKSWAGEN,POLO,Engine (Various Faults),3334.77
VOLKSWAGEN,SCIROCCO,Engine (Various Faults),3084.00
VOLKSWAGEN,SHARAN,Engine (Various Faults),2477.00
VOLKSWAGEN,SCIROCCO,Clutch (Various Faults),2415.54
VOLKSWAGEN,SCIROCCO,Gearbox (Various Faults),2374.00
VOLKSWAGEN,TOURAN,Clutch (Various Faults),2294.66
VOLKSWAGEN,POLO,Cylinder Head Gasket,2280.58
VOLKSWAGEN,GOLF,Gearbox (Various Faults),2144.04
VOLKSWAGEN,TIGUAN,Gearbox (Various Faults),2000.00
VOLKSWAGEN,GOLF GTI,Engine (Various Faults),1997.94
VOLKSWAGEN,GOLF,Electrical ,1630.97
VOLKSWAGEN,BEETLE,Clutch (Various Faults),1602.84
VOLKSWAGEN,PASSAT,Gearbox (Various Faults),1584.00
VOLKSWAGEN,AMAROK,Torque Converter,1488.00
VOLKSWAGEN,CALIFORNIA,Turbocharger,1459.40
VOLKSWAGEN,GOLF,Gearbox (Various Faults),1440.00
VOLKSWAGEN,GOLF,Engine (Various Faults),1429.46
VOLKSWAGEN,GOLF GT,,1400.00
VOLKSWAGEN,POLO,Engine (Various Faults),1350.63
VOLKSWAGEN,SCIROCCO,Abs (Various Faults),1345.78
VOLKSWAGEN,BEETLE,Window Regulator,1342.38
VOLKSWAGEN,SCIROCCO,Abs (Various Faults),1302.40
VOLKSWAGEN,SCIROCCO,Engine (Various Faults),1301.33
VOLKSWAGEN,PASSAT,Clutch (Various Faults),1275.04
VOLKSWAGEN,TIGUAN,Cylinder Head Gasket,1242.03
VOLKSWAGEN,POLO,Ecu Engine,1219.61
VOLKSWAGEN,PASSAT,Clutch (Various Faults),1206.00
VOLKSWAGEN,GOLF,Engine (Various Faults),1200.00
VOLKSWAGEN,TIGUAN,Flywheel ,1159.98
VOLKSWAGEN,BEETLE,Gearbox (Various Faults),1108.60
VOLKSWAGEN,GOLF,Fuel Injectors,1102.10
VOLKSWAGEN,GOLF,Abs (Various Faults),1092.70
VOLKSWAGEN,EOS,Engine (Various Faults),1084.00
VOLKSWAGEN,SCIROCCO,Engine (Various Faults),1084.00
VOLKSWAGEN,POLO,Engine (Various Faults),1084.00
VOLKSWAGEN,CADDY,Gearbox (Various Faults),1084.00
VOLKSWAGEN,GOLF,Gearbox (Various Faults),1084.00
VOLKSWAGEN,GOLF GTI,Engine (Various Faults),1084.00
VOLKSWAGEN,GOLF,Flywheel ,1057.81
VOLKSWAGEN,GOLF,Fuel Injectors,1053.00
VOLKSWAGEN,POLO,Gearbox (Various Faults),1051.75
VOLKSWAGEN,GOLF,Turbocharger,1044.00
VOLKSWAGEN,SCIROCCO,Turbocharger,1016.40
VOLKSWAGEN,GOLF GTI,Flywheel ,1015.62
VOLKSWAGEN,CC,E.G.R Valve,1008.91
VOLKSWAGEN,GOLF,Turbocharger,1008.13
VOLKSWAGEN,CADDY,Fuel Injectors,1000.00
VOLKSWAGEN,GOLF,Gearbox (Various Faults),1000.00
VOLKSWAGEN,GOLF GTI,Fuel Injectors,994.07
VOLKSWAGEN,SCIROCCO,Flywheel ,986.98
VOLKSWAGEN,TOUAREG,Roof (Motors / Electrics),984.00
VOLKSWAGEN,GOLF,Gearbox (Various Faults),978.80
VOLKSWAGEN,TRANSPORTER,Fuel Injectors,972.93
VOLKSWAGEN,CC,Ecu (Other),968.08
VOLKSWAGEN,GOLF,Turbocharger,967.50
VOLKSWAGEN,PASSAT,Engine (Various Faults),967.50
VOLKSWAGEN,TRANSPORTER,Clutch (Various Faults),964.72
VOLKSWAGEN,TRANSPORTER,Flywheel ,931.80
VOLKSWAGEN,POLO,Gearbox (Various Faults),922.86
VOLKSWAGEN,CADDY,FUEL SYSTEM,917.89
VOLKSWAGEN,TIGUAN,Flywheel,912.52
VOLKSWAGEN,GOLF,Clutch (Various Faults),912.00
VOLKSWAGEN,GOLF,Cooling,911.35
VOLKSWAGEN,TIGUAN,Gearbox (Various Faults),907.74
VOLKSWAGEN,POLO,Gearbox (Various Faults),900.00
VOLKSWAGEN,TRANSPORTER,,900.00
VOLKSWAGEN,CRAFTER,Turbocharger,898.80
VOLKSWAGEN,GOLF,Fuel Injectors,874.85
VOLKSWAGEN,TOUAREG,Steering ,870.31
VOLKSWAGEN,GOLF,Gearbox (Various Faults),862.86
