make,model,part,total_paid
VAUXHALL,ZAFIRA,Engine (Various Faults),8368.80
VAUXHALL,ASTRA,Engine (Various Faults),8334.00
VAUXHALL,INSIGNIA,Turbocharger,7373.04
VAUXHALL,INSIGNIA,Engine (Various Faults),7342.33
VAUXHALL,MERIVA,Engine (Various Faults),7128.59
VAUXHALL,ASTRA,Cylinder Head Gasket,7046.82
VAUXHALL,CORSA VXR,Engine,6552.19
VAUXHALL,INSIGNIA,Engine (Various Faults),6375.64
VAUXHALL,ASTRA,Engine (Various Faults),6124.22
VAUXHALL,ZAFIRA,Engine,6014.64
VAUXHALL,CORSA,Engine (Various Faults),4523.33
VAUXHALL,ASTRA,Engine (Various Faults),4292.40
VAUXHALL,ANTARA,Gearbox (Various Faults),3796.88
VAUXHALL,ASTRA VXR,Gearbox (Various Faults),3568.30
VAUXHALL,ANTARA,Gearbox (Various Faults),3504.00
VAUXHALL,ASTRA,Cylinder Head Gasket,3227.20
VAUXHALL,COMBO,Engine (Various Faults),2484.40
VAUXHALL,ASTRA VXR,Cylinder Head Gasket,2182.64
VAUXHALL,ASTRA,Gearbox (Various Faults),2100.00
VAUXHALL,INSIGNIA,Clutch (Various Faults),1952.60
VAUXHALL,ADAM,Clutch (Various Faults),1744.41
VAUXHALL,ASTRA,Engine (Various Faults),1584.00
VAUXHALL,ASTRA,Fuel System,1580.76
VAUXHALL,ASTRA VXR,Flywheel ,1557.48
VAUXHALL,ZAFIRA,Ad Blue System,1516.80
VAUXHALL,VIVARO,Flywheel ,1509.09
VAUXHALL,ASTRA,Gearbox (Various Faults),1490.25
VAUXHALL,INSIGNIA,Gearbox (Various Faults),1484.00
VAUXHALL,CORSA,Engine (Various Faults),1484.00
VAUXHALL,ASTRA,Steering Rack,1437.80
VAUXHALL,CORSA,Ecu Engine,1433.20
VAUXHALL,ASTRA,Clutch (Various Faults),1419.38
VAUXHALL,ASTRA,Steering Column,1412.83
VAUXHALL,MOKKA,Gearbox (Various Faults),1401.14
VAUXHALL,ASTRA,Multimedia,1307.88
VAUXHALL,MOKKA,Clutch (Various Faults),1305.48
VAUXHALL,ASTRA,Fuel System,1293.28
VAUXHALL,ASTRA,Turbocharger,1290.66
VAUXHALL,ASTRA,Air Con (Various Faults),1264.48
VAUXHALL,ASTRA,Gearbox (Various Faults),1212.90
VAUXHALL,MERIVA,Steering Pump,1198.56
VAUXHALL,ASTRA VXR,Gearbox (Various Faults),1161.02
VAUXHALL,ASTRA,Gearbox (Various Faults),1155.74
VAUXHALL,ASTRA,Gearbox (Various Faults),1139.70
VAUXHALL,MOKKA,,1108.00
VAUXHALL,MOKKA,E.G.R Cooler,1103.05
VAUXHALL,ASTRA,Steering Rack,1101.82
VAUXHALL,MOVANO VAN,Turbocharger,1095.84
VAUXHALL,VIVARO,Turbocharger,1095.60
VAUXHALL,CORSA,Ecu Engine,1084.86
VAUXHALL,INSIGNIA,Gearbox (Various Faults),1084.00
VAUXHALL,CORSA,Ecu (Other),1081.44
VAUXHALL,MERIVA,Engine (Various Faults),1072.52
VAUXHALL,ASTRA,Gearbox (Various Faults),1068.80
VAUXHALL,MOKKA,E.G.R Valve,1039.33
VAUXHALL,MOKKA,E.G.R Cooler,1039.31
VAUXHALL,ZAFIRA,Gearbox (Various Faults),1034.00
VAUXHALL,MOKKA,E.G.R Cooler,1032.96
VAUXHALL,MOKKA,E.G.R Valve,1030.45
VAUXHALL,ASTRA,Air Con (Various Faults),1029.60
VAUXHALL,INSIGNIA,Clutch (Various Faults),1025.98
VAUXHALL,ASTRA,Turbocharger,1020.00
VAUXHALL,VXR8,Clutch (Various Faults),1000.04
VAUXHALL,ANTARA,Flywheel ,1000.00
VAUXHALL,ASTRA,Gearbox (Various Faults),1000.00
VAUXHALL,VXR8,Clutch (Various Faults),1000.00
VAUXHALL,CORSA,Engine (Various Faults),1000.00
VAUXHALL,CORSA,E.G.R Valve,1000.00
VAUXHALL,INSIGNIA,Clutch (Various Faults),1000.00
VAUXHALL,INSIGNIA,Fuel Injection Pump,1000.00
VAUXHALL,ZAFIRA,Clutch (Various Faults),992.54
VAUXHALL,ANTARA,Abs (Various Faults),987.20
VAUXHALL,ASTRA,Gearbox (Various Faults),984.00
VAUXHALL,INSIGNIA,Steering Rack,981.60
VAUXHALL,INSIGNIA,Gearbox (Various Faults),972.00
VAUXHALL,ZAFIRA,Ecu Engine,962.00
VAUXHALL,ASTRA,Gearbox (Various Faults),956.00
VAUXHALL,ASTRA,Air Con (Various Faults),952.60
VAUXHALL,VIVARO,Turbocharger,945.60
VAUXHALL,ASTRA,,936.00
VAUXHALL,CORSA VXR,Engine (Various Faults),923.28
VAUXHALL,ASTRA,Gearbox (Various Faults),922.00
VAUXHALL,ASTRA,Gearbox (Various Faults),908.50
VAUXHALL,INSIGNIA,Gearbox (Various Faults),895.50
VAUXHALL,ASTRA,IGNITION COIL,895.22
VAUXHALL,ZAFIRA,Clutch (Various Faults),890.29
VAUXHALL,CORSA,Ecu Engine,889.66
VAUXHALL,ASTRA,Cylinder Head Gasket,889.28
VAUXHALL,CORSA,Ecu Engine,888.80
VAUXHALL,INSIGNIA,Flywheel ,885.04
VAUXHALL,MERIVA,Air Con (Various Faults),885.00
